id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG43050;A New History of Blue Beard: For the Amusement of Little Lack Beard, and His Pretty Sisters;Gaffer Black Beard;;;1804.0;1804;['en'];6;{'Bluebeard (Legendary character) -- Juvenile fiction', 'Fairy tales', 'Curiosity -- Juvenile fiction'};Black+Gaffer;History+Blue;https://www.worldcat.org/search?q=Black+Gaffer+History+Blue&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44253;Richelieu: A Tale of France, v. 2/3;James, G. P. R. (George Payne Rainsford);;1860.0;1800.0;1800;['en'];8;{'Richelieu, Armand Jean du Plessis, duc de, 1585-1642 -- Fiction'};James;Richelieu+Tale;https://www.worldcat.org/search?q=James+Richelieu+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG13514;Tales of a Traveller;Irving, Washington;1783.0;1859.0;1800.0;1800;['en'];330;{'Germany -- Social life and customs -- Fiction'};Washington+Irving;Tales+Traveller;https://www.worldcat.org/search?q=Washington+Irving+Tales+Traveller&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22841;Mr. Joseph Hanson, The Haberdasher;Mitford, Mary Russell;1787.0;1855.0;1800.0;1800;['en'];3;{'City and town life -- Fiction', 'Short stories'};Mary+Mitford;Joseph+Hanson;https://www.worldcat.org/search?q=Mary+Mitford+Joseph+Hanson&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7005;The Antiquary — Complete;Scott, Walter;1771.0;1832.0;1800.0;1800;['en'];240;{'Scotland -- Fiction', 'Beggars -- Fiction', 'Fathers and daughters -- Fiction', 'Antiquarians -- Fiction'};Walter+Scott;Antiquary+Complete;https://www.worldcat.org/search?q=Walter+Scott+Antiquary+Complete&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37661;"The War of the Axe; Or, Adventures in South Africa";Groves, J. Percy (John Percy);;;1800.0;1800;['en'];9;{'South Africa -- History -- Frontier Wars, 1811-1878 -- Fiction'};Percy+Groves;Adventures+South;https://www.worldcat.org/search?q=Percy+Groves+Adventures+South&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG171;Charlotte Temple;Rowson, Mrs.;1762.0;1824.0;1801.0;1801;['en'];867;{'Illegitimate children -- Fiction', 'Soldiers -- Fiction', 'Betrayal -- Fiction', 'Elopement -- Fiction', 'Psychological fiction', 'Didactic fiction', 'New York (N.Y.) -- Fiction', 'British -- New York (State) -- New York -- Fiction', 'Runaway teenagers -- Fiction', 'Teenage girls -- Fiction', 'Seduction -- Fiction', 'Teenage pregnancy -- Fiction'};Mrs+Rowson;Charlotte+Temple;https://www.worldcat.org/search?q=Mrs+Rowson+Charlotte+Temple&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36071;"Hesperus; or, Forty-Five Dog-Post-Days: A Biography. Vol. I.";Jean Paul;1763.0;1825.0;1864.0;1804;['en'];85;{'Fiction'};Paul+Jean;Hesperus+Forty;https://www.worldcat.org/search?q=Paul+Jean+Hesperus+Forty&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31210;"The Redskins; or, Indian and Injin, Volume 1.: Being the Conclusion of the Littlepage Manuscripts";Cooper, James Fenimore;1789.0;1851.0;1800.0;1800;['en'];15;{'New York (State) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Indians of North America -- Fiction'};James+Cooper;Redskins+Indian;https://www.worldcat.org/search?q=James+Cooper+Redskins+Indian&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG16010;The Tithe-Proctor: The Works of William Carleton, Volume Two;Carleton, William;1794.0;1869.0;1800.0;1800;['en'];40;{'Ireland -- Social life and customs -- Fiction'};William+Carleton;Tithe+Proctor;https://www.worldcat.org/search?q=William+Carleton+Tithe+Proctor&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49621;The Father and Daughter: A Tale, in Prose;Opie, Amelia;1769.0;1853.0;1802.0;1802;['en'];14;{'Fathers and daughters -- Fiction', 'Psychological fiction', 'Domestic fiction', 'Mentally ill -- Fiction', 'Seduction -- Fiction', 'Young women -- Fiction'};Amelia+Opie;Father+Daughter;https://www.worldcat.org/search?q=Amelia+Opie+Father+Daughter&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54683;The Wild Irish Girl: A National Tale;Morgan, Lady (Sydney);1783.0;1859.0;1807.0;1807;['en'];133;{'Celts -- Fiction', 'British -- Ireland -- Fiction', 'Ireland -- Fiction', 'Love stories', 'Princesses -- Fiction'};Lady+Morgan;Wild+Irish;https://www.worldcat.org/search?q=Lady+Morgan+Wild+Irish&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG19615;The Dairyman's Daughter;Richmond, Legh;1772.0;1827.0;1800.0;1800;['en'];15;{'Christian life -- Juvenile fiction', 'Conversion -- Christianity -- Juvenile fiction'};Legh+Richmond;Dairyman+Daughter;https://www.worldcat.org/search?q=Legh+Richmond+Dairyman+Daughter&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35294;A Wife's Duty: A Tale;Opie, Amelia;1769.0;1853.0;1806.0;1806;['en'];13;{'Fiction'};Amelia+Opie;Wife+Duty;https://www.worldcat.org/search?q=Amelia+Opie+Wife+Duty&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36087;"Hesperus; or, Forty-Five Dog-Post-Days: A Biography. Vol. II.";Jean Paul;1763.0;1825.0;1864.0;1804;['en'];27;{'Fiction'};Paul+Jean;Hesperus+Forty;https://www.worldcat.org/search?q=Paul+Jean+Hesperus+Forty&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
