id,title,author,downloads,subjects,birth,death,pyearp
PG6148,Narrative and Miscellaneous Papers,"De Quincey, Thomas",56,"{'English essays', 'English fiction'}",1785.0,1859.0,1822.0
PG2701,"Moby Dick; Or, The Whale","Melville, Herman",23163,"{'Ahab, Captain (Fictitious character) -- Fiction', 'Whaling -- Fiction', 'Sea stories', 'Ship captains -- Fiction', 'Psychological fiction', 'Whales -- Fiction', 'Mentally ill -- Fiction', 'Adventure stories', 'Whaling ships -- Fiction'}",1819.0,1891.0,1855.0
PG11171,"Uncle Tom's Cabin, Young Folks' Edition","Stowe, Harriet Beecher",73,"{'Slavery -- Fiction', 'African Americans -- Fiction', 'Southern States -- Fiction', 'Plantation life -- Fiction', 'Political fiction', 'Didactic fiction', 'Slaves -- Fiction', 'Fugitive slaves -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Master and servant -- Fiction'}",1811.0,1896.0,1854.0
PG12520,Deadham Hard: A Romance,"Malet, Lucas",11,{'Fiction'},1852.0,1931.0,1892.0
PG28688,The Silver Maple,"MacGregor, Mary Esther Miller",8,"{'Canada, Northern -- Fiction'}",1876.0,1961.0,1918.0
PG58462,The Story of Valentine and His Brother,"Oliphant, Mrs. (Margaret)",33,{'Brothers -- Fiction'},1828.0,1897.0,1862.0
PG1696,The Club of Queer Trades,"Chesterton, G. K. (Gilbert Keith)",177,"{'Private investigators -- England -- London -- Fiction', 'Detective and mystery stories, English'}",1874.0,1936.0,1905.0
PG26828,A Red Wallflower,"Warner, Susan",8,{'Fiction'},1819.0,1885.0,1852.0
PG5601,Jan of the Windmill: A Story of the Plains,"Ewing, Juliana Horatia",23,"{'Country life -- England -- Juvenile fiction', 'Boys -- Juvenile fiction'}",1841.0,1885.0,1863.0
PG4270,Ragged Lady — Complete,"Howells, William Dean",6,"{'Young women -- Fiction', 'Americans -- Italy -- Fiction', 'New England -- Fiction'}",1837.0,1920.0,1878.0
PG57836,Jinny the Carrier,"Zangwill, Israel",14,{'England -- Fiction'},1864.0,1926.0,1895.0
PG30826,Gold,"White, Stewart Edward",25,"{'Gold mines and mining -- Fiction', 'Western stories', 'California -- Fiction'}",1873.0,1946.0,1910.0
PG48112,The Green Goddess,"Miln, Louise Jordan",23,"{'Triangles (Interpersonal relations) -- Fiction', 'British -- Foreign countries -- Fiction', 'Imaginary places -- Asia, Central -- Fiction', 'Aircraft accidents -- Fiction'}",1864.0,1933.0,1898.0
PG19477,The Young Trailers: A Story of Early Kentucky,"Altsheler, Joseph A. (Joseph Alexander)",30,{'Kentucky -- History -- To 1792 -- Juvenile fiction'},1862.0,1919.0,1890.0
PG45719,Arundel,"Benson, E. F. (Edward Frederic)",11,"{'Man-woman relationships -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Suburbs -- England -- London -- Fiction', 'Suburban life -- Fiction', 'Families -- Fiction', 'British -- India -- Fiction'}",1867.0,1940.0,1904.0
PG11418,The Grafters,"Lynde, Francis",19,"{'Railroads -- Fiction', 'Love stories', 'Political corruption -- West (U.S.) -- Fiction'}",1856.0,1930.0,1893.0
PG46437,The Tragedy of Wild River Valley,"Finley, Martha",11,"{'Brigands and robbers -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Family -- Juvenile fiction', 'Theft -- Juvenile fiction', 'Marriage -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Death -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Youth and death -- Juvenile fiction', 'Envy -- Juvenile fiction', 'Revenge -- Juvenile fiction'}",1828.0,1909.0,1868.0
PG56455,Rebellion,"Patterson, Joseph Medill",12,"{'Married women -- Fiction', 'Divorce -- Fiction', 'Catholics -- Fiction', 'Chicago (Ill.) -- Fiction'}",1879.0,1946.0,1912.0
PG5963,Mr. Bingle,"McCutcheon, George Barr",11,"{'Dickens, Charles, 1812-1870. Christmas carol -- Fiction', 'Christmas stories', 'New York (N.Y.) -- Fiction'}",1866.0,1928.0,1897.0
PG5271,Marjorie's Vacation,"Wells, Carolyn",11,"{""Children's stories"", 'Families -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Summer -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Grandmothers -- Juvenile fiction'}",1862.0,1942.0,1902.0
PG8196,Under the Skylights,"Fuller, Henry Blake",7,{'United States -- Social life and customs -- 19th century -- Fiction'},1857.0,1929.0,1893.0
PG47128,"Billy Topsail, M.D.: A Tale of Adventure With Doctor Luke of the Labrador","Duncan, Norman",11,"{'Adventure stories', 'Labrador (N.L.) -- Juvenile fiction'}",1871.0,1916.0,1894.0
PG4400,Hira Singh : when India came to fight in Flanders,"Mundy, Talbot",34,"{'World War, 1914-1918 -- Fiction'}",1879.0,1940.0,1910.0
PG2841,The Ivory Child,"Haggard, H. Rider (Henry Rider)",79,"{'Fantasy fiction, English', 'Adventure stories', 'Quatermain, Allan (Fictitious character) -- Fiction'}",1856.0,1925.0,1890.0
PG289,The Wind in the Willows,"Grahame, Kenneth",2334,"{'Friendship -- Fiction', 'River life -- Fiction', 'Animals -- Fiction', 'Fantasy fiction', 'Country life -- Fiction', 'Pastoral fiction', 'England -- Fiction', 'Humorous stories'}",1859.0,1932.0,1896.0
PG19962,Piccaninnies,"Peacocke, Isabel M. (Isabel Maud)",9,"{'Fairies -- Juvenile fiction', 'New Zealand -- Juvenile fiction'}",1881.0,1973.0,1927.0
