id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG29439;Dr. Sevier;Cable, George Washington;1844.0;1925.0;1883.0;1883;['en'];30;{'New Orleans (La.) -- Social life and customs -- 19th century -- Fiction', 'Physicians -- Fiction'};George+Cable;Sevier;https://www.worldcat.org/search?q=George+Cable+Sevier&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20022;"""Sequil""; Or, Things Whitch Aint Finished in the First";Shute, Henry A. (Henry Augustus);1856.0;1943.0;1880.0;1880;['en'];2;{'Diary fiction', 'Boys -- Juvenile fiction'};Henry+Shute;Sequil+Things;https://www.worldcat.org/search?q=Henry+Shute+Sequil+Things&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21663;Aunt Mary;Perring, Mrs.;;;1881.0;1881;['en'];13;{'Teachers -- Juvenile fiction', 'Young women -- Juvenile fiction'};Mrs+Perring;Aunt+Mary;https://www.worldcat.org/search?q=Mrs+Perring+Aunt+Mary&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56670;Our Lady of the Pillar;Queirós, Eça de;1845.0;1900.0;;1882;['en'];12;{'Jealousy -- Fiction', 'Castile (Spain) -- History -- Henry IV, 1454-1474 -- Fiction', 'Ghost stories', 'Married women -- Fiction'};Eça+Queirós;Lady+Pillar;https://www.worldcat.org/search?q=Eça+Queirós+Lady+Pillar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG32496;Helen Grant's Schooldays;Douglas, Amanda M.;1831.0;1916.0;2007.0;1884;['en'];61;{'Girls -- Juvenile fiction', 'Boarding schools -- Juvenile fiction'};Amanda+Douglas;Helen+Grant;https://www.worldcat.org/search?q=Amanda+Douglas+Helen+Grant&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG12196;Red Saunders: His Adventures West & East;Phillips, Henry Wallace;1869.0;1930.0;1888.0;1888;['en'];9;{'Humorous stories', 'Fiction'};Henry+Phillips;Saunders+Adventures;https://www.worldcat.org/search?q=Henry+Phillips+Saunders+Adventures&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26560;Jim Spurling, Fisherman: or Making Good;Tolman, Albert Walter;1866.0;;;1886;['en'];35;{'Fisheries -- Juvenile fiction', 'Maine -- Juvenile fiction'};Albert+Tolman;Spurling+Fisherman;https://www.worldcat.org/search?q=Albert+Tolman+Spurling+Fisherman&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20722;A Little Girl in Old Salem;Douglas, Amanda M.;1831.0;1916.0;2007.0;1884;['en'];40;{'Salem (Mass.) -- Fiction'};Amanda+Douglas;Little+Girl;https://www.worldcat.org/search?q=Amanda+Douglas+Little+Girl&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4078;The Picture of Dorian Gray;Wilde, Oscar;1854.0;1900.0;2008.0;1887;['en'];597;{'Supernatural -- Fiction', 'Portraits -- Fiction', 'Appearance (Philosophy) -- Fiction', 'Didactic fiction', 'Conduct of life -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Paranormal fiction'};Oscar+Wilde;Picture+Dorian;https://www.worldcat.org/search?q=Oscar+Wilde+Picture+Dorian&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48228;Averil;Carey, Rosa Nouchette;1840.0;1909.0;1800.0;1884;['en'];8;{'Cousins -- Fiction', 'Friendship -- Fiction', 'Young women -- Conduct of life -- Fiction', 'Courtship -- Fiction', 'Conduct of life -- Fiction', 'Kindness -- Fiction', 'Sick -- Fiction'};Rosa+Carey;Averil;https://www.worldcat.org/search?q=Rosa+Carey+Averil&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG50886;"Katherine Lauderdale; Vol. 2 of 2";Crawford, F. Marion (Francis Marion);1854.0;1909.0;1880.0;1880;['en'];5;{'Upper class -- Fiction', 'Interpersonal relations -- Fiction', 'Families -- Fiction', 'New York (N.Y.) -- Fiction'};Marion+Crawford;Katherine+Lauderdale;https://www.worldcat.org/search?q=Marion+Crawford+Katherine+Lauderdale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG62084;The Deceased Wife's Sister, and My Beautiful Neighbour, v. 3;Russell, William Clark;1844.0;1911.0;1800.0;1888;['en'];3;{'English fiction -- 19th century'};William+Russell;Deceased+Wife;https://www.worldcat.org/search?q=William+Russell+Deceased+Wife&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37252;Born to Wander: A Boy's Book of Nomadic Adventures;Stables, Gordon;1840.0;1910.0;1707.0;1885;['en'];17;{'Nomads -- Juvenile fiction', 'Islands -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Ship captains -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Sailing -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Natural history -- Juvenile fiction'};Gordon+Stables;Born+Wander;https://www.worldcat.org/search?q=Gordon+Stables+Born+Wander&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG8570;The Philistines;Bates, Arlo;1850.0;1918.0;1888.0;1888;['en'];7;{'Fiction'};Arlo+Bates;Philistines;https://www.worldcat.org/search?q=Arlo+Bates+Philistines&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31673;"The Rose of Paradise: Being a detailed account of certain adventures that happened to captain John Mackra, in connection with the famous pirate, Edward England, in the year 1720, off the Island of Juanna in the Mozambique Channel; writ by himself, and now for the first time published";Pyle, Howard;1853.0;1911.0;1888.0;1888;['en'];22;{'Mozambique Channel -- Fiction', 'Pirates -- Fiction'};Howard+Pyle;Rose+Paradise;https://www.worldcat.org/search?q=Howard+Pyle+Rose+Paradise&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21696;Red Rooney: The Last of the Crew;Ballantyne, R. M. (Robert Michael);1825.0;1894.0;1886.0;1886;['en'];22;{'Rescues -- Juvenile fiction', 'Eskimos -- Juvenile fiction', 'Camping -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Sailing -- Juvenile fiction', 'Families -- Juvenile fiction', 'Outdoor life -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Christian life -- Juvenile fiction'};Ballantyne;Rooney+Last;https://www.worldcat.org/search?q=Ballantyne+Rooney+Last&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
