id,title,author,downloads,subjects,birth,death,pyearp
PG3147,A Summer in a Canyon: A California Story,"Wiggin, Kate Douglas Smith",4,{'California -- Fiction'},1856.0,1923.0,1890.0
PG26651,The Flaming Jewel,"Chambers, Robert W. (Robert William)",22,{'Jewel thieves -- Fiction'},1865.0,1933.0,1899.0
PG51701,Grandmother: The Story of a Life That Never Was Lived,"Richards, Laura Elizabeth Howe",8,"{'Families -- Fiction', 'Young women -- Fiction', 'May-December romances -- Fiction', 'Villages -- Fiction'}",1850.0,1943.0,1896.0
PG44196,The Indian Scout: A Story of the Aztec City,"Aimard, Gustave",24,{'Aztecs -- Fiction'},1818.0,1883.0,1850.0
PG55125,Madam: A Novel,"Oliphant, Mrs. (Margaret)",22,{'Fiction'},1828.0,1897.0,1862.0
PG2903,"Studies and Essays: The Inn of Tranquility, and Others","Galsworthy, John",4,"{'Essays', 'Short stories', 'Autobiographical fiction'}",1867.0,1933.0,1900.0
PG43688,"Wednesday the Tenth, A Tale of the South Pacific","Allen, Grant",16,"{'Sea stories', 'Oceania -- Fiction', 'South Pacific Ocean -- Fiction'}",1848.0,1899.0,1874.0
PG55709,The Crimson Azaleas: A Novel,"Stacpoole, H. De Vere (Henry De Vere)",14,{'British -- Japan -- Fiction'},1863.0,1951.0,1907.0
PG42840,Sisters,"North, Grace May",65,"{'Sisters -- Juvenile fiction', 'Mystery and detective stories', 'Identity (Philosophical concept) -- Juvenile fiction', 'Mistaken identity -- Juvenile fiction', 'Family -- Juvenile fiction'}",1876.0,1960.0,1918.0
PG33325,The Spoils of Poynton,"James, Henry",64,"{'England -- Fiction', 'Country homes -- Fiction', 'Domestic fiction', 'Inheritance and succession -- Fiction'}",1843.0,1916.0,1880.0
PG41909,The Crimson Thread: An Adventure Story for Girls,"Snell, Roy J. (Roy Judson)",7,"{'Department stores -- Juvenile fiction', 'Mystery and detective stories', 'Booksellers and bookselling -- Juvenile fiction', 'Clerks (Retail trade) -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction'}",1878.0,1959.0,1918.0
PG25356,Aunt Madge's Story,"May, Sophie",7,"{'Friendship -- Juvenile fiction', 'Family -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Maine -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Christian life -- Juvenile fiction'}",1833.0,1906.0,1870.0
PG28877,Penelope's Progress: Being Such Extracts from the Commonplace Book of Penelope Hamilton As Relate to Her Experiences in Scotland,"Wiggin, Kate Douglas Smith",13,"{'Scotland -- Social life and customs -- 19th century -- Fiction', 'Americans -- Scotland -- Fiction'}",1856.0,1923.0,1890.0
PG23070,"Clara Maynard; Or, The True and the False: A Tale of the Times","Kingston, William Henry Giles",16,"{'Convents -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Catholics -- England -- Juvenile fiction'}",1814.0,1880.0,1847.0
PG51955,"The Man of Last Resort; Or, The Clients of Randolph Mason","Post, Melville Davisson",19,"{'Legal stories, American', 'American fiction -- 19th century', 'Detective and mystery stories, American'}",1869.0,1930.0,1900.0
PG60792,Adam & Eve & Pinch Me,"Coppard, A. E. (Alfred Edgar)",25,"{'Great Britain -- Social life and customs -- 20th century -- Fiction', 'Short stories, English'}",1878.0,1957.0,1918.0
PG48911,A Mine of Faults,"Bain, F. W. (Francis William)",4,{'Fantasy fiction'},1863.0,1940.0,1902.0
PG64253,"Only an Ensign: A Tale of the Retreat from Cabul, Volume 2 (of 3)","Grant, James",19,{'Afghan Wars -- Fiction'},1822.0,1887.0,1854.0
PG28544,"Say and Seal, Volume I","Warner, Anna Bartlett",12,"{'Christian life -- Fiction', 'Courtship -- Fiction', 'Physicians -- Fiction', 'Teachers -- Fiction', 'Mothers and daughters -- Fiction'}",1824.0,1915.0,1870.0
PG39857,Marmaduke,"Steel, Flora Annie Webster",11,"{'Scotland -- Fiction', 'Inheritance and succession -- Fiction'}",1847.0,1929.0,1888.0
PG23631,The Moonshiners At Hoho-Hebee Falls: 1895,"Murfree, Mary Noailles",8,{'Fiction'},1850.0,1922.0,1886.0
PG59911,The Rock Ahead: A Novel. (Vol. 1),"Yates, Edmund",7,{'Fiction'},1831.0,1894.0,1862.0
PG36179,"The Rover Boys on a Tour; or, Last Days at Brill College","Stratemeyer, Edward",44,"{'Sports stories', 'Automobile travel -- Juvenile fiction', 'Floods -- Juvenile fiction', 'College students -- Juvenile fiction'}",1862.0,1930.0,1896.0
PG6244,The Right of Way — Volume 02,"Parker, Gilbert",1,{'Canadian fiction'},1862.0,1932.0,1897.0
PG58099,Mother of Pearl,"France, Anatole",41,"{'France -- Social life and customs -- Fiction', 'Short stories, French -- Translations into English'}",1844.0,1924.0,1884.0
PG1210,Kwaidan: Stories and Studies of Strange Things,"Hearn, Lafcadio",1292,"{'Japan -- Social life and customs -- Fiction', 'Paranormal fiction', 'Ghost stories', 'Legends -- Japan'}",1850.0,1904.0,1877.0
PG1278,Penelope's English Experiences: Being Extracts from the Commonplace Book of Penelope Hamilton,"Wiggin, Kate Douglas Smith",89,"{'Americans -- England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}",1856.0,1923.0,1890.0
PG24297,"The River of Darkness; Or, Under Africa","Graydon, William Murray",12,"{'Africa -- Fiction', 'Adventure stories'}",1864.0,1946.0,1905.0
PG41698,A Prince of Anahuac: A Histori-traditional Story Antedating the Aztec Empire,"Porter, James A.",17,{'Mexico -- History -- To 1519 -- Fiction'},1836.0,1897.0,1866.0
PG20485,The Lunatic at Large,"Clouston, J. Storer (Joseph Storer)",21,"{'Humorous stories', 'Nobility -- Germany -- Fiction'}",1870.0,1944.0,1907.0
PG25542,Black Oxen,"Atherton, Gertrude Franklin Horn",17,{'American fiction -- 20th century'},1857.0,1948.0,1902.0
PG30494,The Adventures of A Brownie: As Told to My Child by Miss Mulock,"Craik, Dinah Maria Mulock",33,"{'Fairies -- Juvenile fiction', ""Children's poetry""}",1826.0,1887.0,1856.0
PG18833,"With Clive in India; Or, The Beginnings of an Empire","Henty, G. A. (George Alfred)",68,"{'India -- History -- British occupation, 1765-1947 -- Fiction'}",1832.0,1902.0,1867.0
PG55923,Carl the Trailer,"Castlemon, Harry",4,"{'Hunters -- Juvenile fiction', 'Soldiers -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Sitting Bull, 1831-1890 -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Hunting -- Juvenile fiction', 'Wounded Knee Massacre, S.D., 1890 -- Juvenile fiction', 'Indians of North America -- Juvenile fiction', 'Outdoor life -- Juvenile fiction', 'Thieves -- Juvenile fiction', 'Adventure stories', 'Uncles -- Juvenile fiction'}",1842.0,1915.0,1878.0
PG6289,"Wild Youth, Volume 1.","Parker, Gilbert",4,{'Canadian fiction -- 20th century'},1862.0,1932.0,1897.0
PG10210,"Wolves of the Sea: Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",18,"{'Sea stories', 'Pirates -- Fiction'}",1858.0,1923.0,1890.0
PG41790,Quintus Oakes: A Detective Story,"Jackson, Charles Ross",31,"{'Detective and mystery stories', 'Fiction'}",1867.0,1915.0,1891.0
PG25991,Frank of Freedom Hill,"Derieux, Samuel A. (Samuel Arthur)",8,{'Dogs -- Juvenile fiction'},1881.0,1922.0,1902.0
PG5996,Essays on Russian Novelists,"Phelps, William Lyon",59,{'Russian fiction -- History and criticism'},1865.0,1943.0,1904.0
PG3533,Sunshine Sketches of a Little Town,"Leacock, Stephen",297,"{'Canada -- Social life and customs -- Fiction', 'City and town life -- Fiction'}",1869.0,1944.0,1906.0
PG44590,A Tale of Two Tunnels: A Romance of the Western Waters,"Russell, William Clark",12,"{'Man-woman relationships -- Fiction', 'Pirates -- Fiction', 'Sea stories'}",1844.0,1911.0,1878.0
PG54195,"Grit; or, The Young Boatman of Pine Point","Alger, Horatio, Jr.",15,"{'Messengers -- Juvenile fiction', 'Robbery -- Juvenile fiction', 'River life -- Juvenile fiction', 'Mothers and sons -- Juvenile fiction', 'Bildungsromans', 'Honesty -- Juvenile fiction', 'Boys -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Success -- Juvenile fiction', 'Ferries -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Alcoholism -- Juvenile fiction'}",1832.0,1899.0,1866.0
PG43853,The Galloping Ghost: A Mystery Story for Boys,"Snell, Roy J. (Roy Judson)",14,"{'Kidnapping -- Juvenile fiction', 'Football stories', 'Escapes -- Juvenile fiction', 'Ghosts -- Juvenile fiction'}",1878.0,1959.0,1918.0
PG11988,The Human Chord,"Blackwood, Algernon",31,{'Paranormal fiction'},1869.0,1951.0,1910.0
PG765,The Moon Pool,"Merritt, Abraham",114,"{'Science fiction', 'Botanists -- Fiction', 'Oceania -- Fiction', 'Geographical myths -- Fiction'}",1884.0,1943.0,1914.0
PG58192,"Winning His ""Y"": A Story of School Athletics","Barbour, Ralph Henry",7,"{'Sports stories', 'Schools -- Juvenile fiction'}",1870.0,1944.0,1907.0
PG53356,Kate Vernon: A Tale. Vol. 2 (of 3),"Alexander, Mrs.",23,{'Fiction'},1825.0,1902.0,1864.0
PG26259,Her Mother's Secret,"Southworth, Emma Dorothy Eliza Nevitte",17,{'Fiction'},1819.0,1899.0,1859.0
PG25651,With Spurs of Gold: Heroes of Chivalry and their Deeds,"Kirk, Dolly Williams",79,"{'Children -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Knights and knighthood -- Juvenile fiction'}",1863.0,1941.0,1902.0
PG21709,The Walrus Hunters: A Romance of the Realms of Ice,"Ballantyne, R. M. (Robert Michael)",26,"{'Arctic regions -- Juvenile fiction', 'Eskimos -- Juvenile fiction'}",1825.0,1894.0,1860.0
PG203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",8245,"{'Slavery -- Fiction', 'African Americans -- Fiction', 'Southern States -- Fiction', 'Plantation life -- Fiction', 'Didactic fiction', 'Political fiction', 'Slaves -- Fiction', 'Fugitive slaves -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Master and servant -- Fiction'}",1811.0,1896.0,1854.0
PG37688,A Trooper Galahad,"King, Charles",41,"{'Frontier and pioneer life -- West (U.S.) -- Fiction', 'United States. Army -- Military life -- Fiction', 'Soldiers -- West (U.S.) -- Fiction', 'Western stories', 'West (U.S.) -- Social life and customs -- Fiction'}",1844.0,1933.0,1888.0
PG38443,The Croxley Master: A Great Tale Of The Prize Ring,"Doyle, Arthur Conan",31,"{'Boxing stories', 'Boxers (Sports) -- Fiction'}",1859.0,1930.0,1894.0
