,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG10579,"Joe Strong the Boy Fire-Eater; Or, The Most Dangerous Performance on Record","Barnum, Vance",17,"{'Fire-eating -- Juvenile fiction', 'Circus performers -- Juvenile fiction'}",1902.0,Vance+Barnum,Strong+Fire,https://www.worldcat.org/search?q=Vance+Barnum+Strong+Fire&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41329,Mrs. Dorriman: A Novel. Volume 1 of 3,"Chetwynd, Henry Wayland, Mrs.",13,{'Fiction'},1886.0,Henry+Chetwynd,Dorriman+Novel,https://www.worldcat.org/search?q=Henry+Chetwynd+Dorriman+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG55861,"The Outcasts, and Other Stories","Gorky, Maksim",14,"{'Short stories, Russian -- Translations into English', 'Russian fiction -- Translations into English', 'Russia -- Social life and customs -- Fiction'}",1902.0,Maksim+Gorky,Outcasts+Other,https://www.worldcat.org/search?q=Maksim+Gorky+Outcasts+Other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6433,"On the Trail of Pontiac; Or, The Pioneer Boys of the Ohio","Stratemeyer, Edward",3,"{'Pontiac, Ottawa Chief, -1769 -- Juvenile fiction', ""Pontiac's Conspiracy, 1763-1765 -- Juvenile fiction""}",1904.0,Edward+Stratemeyer,Trail+Pontiac,https://www.worldcat.org/search?q=Edward+Stratemeyer+Trail+Pontiac&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG65087,"Ben, the Trapper; Or, The Mountain Demon: A Tale of the Black Hills","Aiken, Albert W.",13,"{'Crow Indians -- Fiction', 'Dime novels', 'Trappers -- Fiction', 'Frontier and pioneer life -- Fiction', 'Black Hills (S.D. and Wyo.) -- Fiction'}",1869.0,Albert+Aiken,Trapper+Mountain,https://www.worldcat.org/search?q=Albert+Aiken+Trapper+Mountain&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG27601,Hawtrey's Deputy,"Bindloss, Harold",18,{'Prairie Provinces -- Fiction'},1900.0,Harold+Bindloss,Hawtrey+Deputy,https://www.worldcat.org/search?q=Harold+Bindloss+Hawtrey+Deputy&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36852,The Story of Antony Grace,"Fenn, George Manville",17,"{'England -- Fiction', 'Young men -- Fiction', 'Runaway children -- Fiction', 'Orphans -- Fiction'}",1755.0,George+Fenn,Story+Antony,https://www.worldcat.org/search?q=George+Fenn+Story+Antony&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG39567,Two Little Waifs,"Molesworth, Mrs.",26,"{'Children and death -- Juvenile fiction', 'Motherless families -- Juvenile fiction', 'Generosity -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Sick -- Juvenile fiction'}",1883.0,Mrs+Molesworth,Little+Waifs,https://www.worldcat.org/search?q=Mrs+Molesworth+Little+Waifs&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26233,The Indifference of Juliet,"Richmond, Grace S. (Grace Smith)",9,{'American fiction -- 19th century'},1866.0,Grace+Richmond,Indifference+Juliet,https://www.worldcat.org/search?q=Grace+Richmond+Indifference+Juliet&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34452,The Iron Arrow Head or The Buckler Maiden: A Tale of the Northman Invasion,"Sue, Eugène",14,{'Northmen -- Fiction'},1904.0,Eugène+Sue,Iron+Arrow,https://www.worldcat.org/search?q=Eugène+Sue+Iron+Arrow&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG29862,"The Old Countess; or, The Two Proposals","Stephens, Ann S. (Ann Sophia)",9,{'Fiction'},1873.0,Ann+Stephens,Countess+Proposals,https://www.worldcat.org/search?q=Ann+Stephens+Countess+Proposals&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48731,"Les Misérables, v. 1/5: Fantine","Hugo, Victor",81,"{'Ex-convicts -- Fiction', 'Epic literature', 'Orphans -- Fiction', 'Paris (France) -- Fiction', 'Historical fiction'}",1862.0,Victor+Hugo,Misérables+Fantine,https://www.worldcat.org/search?q=Victor+Hugo+Misérables+Fantine&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG57418,A Modern Madonna,"Stanley, Caroline Abbot",13,"{'Women -- Fiction', 'United States -- Social life and customs -- 20th century -- Fiction', 'Custody of children -- Fiction'}",1901.0,Caroline+Stanley,Modern+Madonna,https://www.worldcat.org/search?q=Caroline+Stanley+Modern+Madonna&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG45543,The Paladins of Edwin the Great,"Markham, Clements R. (Clements Robert), Sir",34,"{'Edwin, King of Northumbria, 585?-633 -- Fiction', 'Great Britain -- History -- Anglo-Saxon period, 449-1066 -- Fiction'}",1896.0,Clements+Markham,Paladins+Edwin,https://www.worldcat.org/search?q=Clements+Markham+Paladins+Edwin&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49190,"Dave Dashaway the Young Aviator; Or, In the Clouds for Fame and Fortune","Rockwood, Roy",6,{'Aeronautics -- Juvenile fiction'},1913.0,Roy+Rockwood,Dave+Dashaway,https://www.worldcat.org/search?q=Roy+Rockwood+Dave+Dashaway&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11686,Without Dogma: A Novel of Modern Poland,"Sienkiewicz, Henryk",11,{'Poland -- Fiction'},1898.0,Henryk+Sienkiewicz,Without+Dogma,https://www.worldcat.org/search?q=Henryk+Sienkiewicz+Without+Dogma&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54012,"The Younger Sister: A Novel, Vol. III.","Hubback, Mrs. (Catherine-Anne Austen)",2,"{'Sisters -- Fiction', 'Children of clergy -- Fiction', 'Mate selection -- Fiction', 'Courtship -- Fiction', 'England -- Fiction', 'Love stories', 'Motherless families -- Fiction', 'Young women -- Fiction'}",1850.0,Mrs+Hubback,Younger+Sister,https://www.worldcat.org/search?q=Mrs+Hubback+Younger+Sister&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52385,Dick Kent with the Malemute Mail,"Oblinger, M. M. (Milo Milton)",2,"{'Adventure stories', 'Smallpox -- Juvenile fiction', 'Royal Canadian Mounted Police -- Juvenile fiction'}",1927.0,Oblinger,Dick+Kent,https://www.worldcat.org/search?q=Oblinger+Dick+Kent&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG17530,Maida's Little Shop,"Gillmore, Inez Haynes",29,"{'Children of the rich -- Juvenile fiction', 'Sick children -- Juvenile fiction', 'Girls -- Juvenile fiction'}",1912.0,Inez+Gillmore,Maida+Little,https://www.worldcat.org/search?q=Inez+Gillmore+Maida+Little&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG8938,"Zenobia; or, the Fall of Palmyra","Ware, William",18,"{'Zenobia, Queen of Palmyra -- Fiction', 'Epistolary fiction', 'Tadmur (Syria) -- Fiction'}",1838.0,William+Ware,Zenobia+Fall,https://www.worldcat.org/search?q=William+Ware+Zenobia+Fall&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG19706,Brood of the Witch-Queen,"Rohmer, Sax",101,{'Witches -- Fiction'},1900.0,Sax+Rohmer,Brood+Witch,https://www.worldcat.org/search?q=Sax+Rohmer+Brood+Witch&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG47141,Painted Veils,"Huneker, James",16,"{'American fiction -- 20th century', 'Women artists -- Fiction', 'Manhattan (New York, N.Y.) -- Fiction'}",1920.0,James+Huneker,Painted+Veils,https://www.worldcat.org/search?q=James+Huneker+Painted+Veils&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1835,The Case of the Pool of Blood in the Pastor's Study,"Groner, Auguste",18,"{'Detective and mystery stories', 'Fiction'}",1910.0,Auguste+Groner,Case+Pool,https://www.worldcat.org/search?q=Auguste+Groner+Case+Pool&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4653,God's Good Man: A Simple Love Story,"Corelli, Marie",18,"{'Love stories', 'Fiction'}",1900.0,Marie+Corelli,Good+Simple,https://www.worldcat.org/search?q=Marie+Corelli+Good+Simple&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG55511,The Silver Bullet,"Hume, Fergus",19,"{'England -- Fiction', 'Detective and mystery stories', 'Murder -- Investigation -- Fiction'}",1900.0,Fergus+Hume,Silver+Bullet,https://www.worldcat.org/search?q=Fergus+Hume+Silver+Bullet&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31662,Their Son; The Necklace,"Zamacois, Eduardo",8,{'Spanish fiction -- Translations into English'},1919.0,Eduardo+Zamacois,Their+Necklace,https://www.worldcat.org/search?q=Eduardo+Zamacois+Their+Necklace&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56891,"Helon's Pilgrimage to Jerusalem, Volume 2 (of 2): A picture of Judaism, in the century which preceded the advent of our Savior.","Strauss, Friedrich",3,{'Jews -- History -- To 70 A.D. -- Fiction'},1824.0,Friedrich+Strauss,Helon+Pilgrimage,https://www.worldcat.org/search?q=Friedrich+Strauss+Helon+Pilgrimage&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
