,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG41929,Arethusa,"Crawford, F. Marion (Francis Marion)",25,"{'Byzantine Empire -- History -- John V Palaeologus, 1341-1391 -- Fiction', 'Zeno, Carlo, 1334-1418 -- Fiction'}",1907.0,Marion+Crawford,Arethusa,https://www.worldcat.org/search?q=Marion+Crawford+Arethusa&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53062,At the Sign of the Silver Flagon,"Farjeon, B. L. (Benjamin Leopold)",4,{'English fiction -- 19th century'},1874.0,Farjeon,Sign+Silver,https://www.worldcat.org/search?q=Farjeon+Sign+Silver&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44770,Daisy's Work: The Third Commandment,"Mathews, Joanna H. (Joanna Hooe)",13,"{'Friendship -- Juvenile fiction', 'Missing children -- Juvenile fiction', 'Benevolence -- Juvenile fiction', 'Ten commandments -- Juvenile fiction', 'Ten commandments -- Name of God -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Swearing -- Juvenile fiction'}",1870.0,Joanna+Mathews,Daisy+Work,https://www.worldcat.org/search?q=Joanna+Mathews+Daisy+Work&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33879,The Romance of the Canoness: A Life-History,"Heyse, Paul",12,{'German fiction -- Translations into English'},1887.0,Paul+Heyse,Romance+Canoness,https://www.worldcat.org/search?q=Paul+Heyse+Romance+Canoness&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10321,Dragon's blood,"Rideout, Henry Milner",21,{'Europeans -- China -- Fiction'},1909.0,Henry+Rideout,Dragon+blood,https://www.worldcat.org/search?q=Henry+Rideout+Dragon+blood&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28629,"Phoebe, Junior","Oliphant, Mrs. (Margaret)",32,"{'Children of clergy -- Fiction', 'Women -- Employment -- Fiction', 'Social classes -- Fiction', 'Bildungsromans', 'Young women -- Fiction', 'England -- Fiction', 'Domestic fiction', 'Feminist fiction', 'Grandparents -- Fiction'}",1876.0,Mrs+Oliphant,Phoebe+Junior,https://www.worldcat.org/search?q=Mrs+Oliphant+Phoebe+Junior&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11574,Master Skylark: A Story of Shakspere's Time,"Bennett, John",44,"{'Historical fiction', 'England -- Juvenile fiction', 'Shakespeare, William, 1564-1616 -- Juvenile fiction'}",1914.0,John+Bennett,Master+Skylark,https://www.worldcat.org/search?q=John+Bennett+Master+Skylark&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37209,The Turner Twins,"Barbour, Ralph Henry",13,"{'Twins -- Juvenile fiction', 'Boarding schools -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Football -- Juvenile fiction'}",1897.0,Ralph+Barbour,Turner+Twins,https://www.worldcat.org/search?q=Ralph+Barbour+Turner+Twins&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14779,Mr. Fortescue: An Andean Romance,"Westall, William",11,{'Andes Region -- Fiction'},1800.0,William+Westall,Fortescue+Andean,https://www.worldcat.org/search?q=William+Westall+Fortescue+Andean&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG16654,The Lost Treasure of Trevlyn: A Story of the Days of the Gunpowder Plot,"Everett-Green, Evelyn",24,"{'Gunpowder Plot, 1605 -- Juvenile fiction'}",1894.0,Green+Everett,Lost+Treasure,https://www.worldcat.org/search?q=Green+Everett+Lost+Treasure&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG51704,"Fern Vale; or, the Queensland Squatter. Volume 2","Munro, Colin",0,{'Queensland -- Fiction'},1862.0,Colin+Munro,Fern+Vale,https://www.worldcat.org/search?q=Colin+Munro+Fern+Vale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40126,The Cock and Anchor,"Le Fanu, Joseph Sheridan",52,"{'City and town life -- Fiction', 'Dublin (Ireland) -- Fiction'}",1845.0,Joseph+Fanu,Cock+Anchor,https://www.worldcat.org/search?q=Joseph+Fanu+Cock+Anchor&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31381,The Squire's Daughter: Being the First Book in the Chronicles of the Clintons,"Marshall, Archibald",12,"{'Mate selection -- Fiction', 'Upper class -- England -- Fiction', 'England -- Social life and customs -- Fiction', 'Young women -- Fiction'}",1880.0,Archibald+Marshall,Squire+Daughter,https://www.worldcat.org/search?q=Archibald+Marshall+Squire+Daughter&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36433,Chronicles of the Schonberg-Cotta Family,"Charles, Elizabeth Rundle",35,"{'Biographical fiction', 'Germany -- History -- Late Middle Ages, 1254-1517 -- Fiction', 'Luther, Martin, 1483-1546 -- Fiction', 'Clergy -- Fiction', 'Germany -- History -- Reformation and Counter-Reformation, 1517-1618 -- Fiction', 'Reformation -- Fiction', 'Christian fiction'}",1864.0,Elizabeth+Charles,Chronicles+Schonberg,https://www.worldcat.org/search?q=Elizabeth+Charles+Chronicles+Schonberg&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG19818,Dixie Hart,"Harben, Will N. (Will Nathaniel)",14,{'Fiction'},1910.0,Will+Harben,Dixie+Hart,https://www.worldcat.org/search?q=Will+Harben+Dixie+Hart&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG66503,"With Sword and Crucifix: Being an Account of the Strange Adventures of Count Louis Sancerre, Companion of Sieur LaSalle, on the Lower Mississippi, in the Year of Grace 1682","Van Zile, Edward S. (Edward Sims)",1071,"{'Discoveries in geography -- Fiction', 'La Salle, Robert Cavelier, sieur de, 1643-1687 -- Fiction', 'Explorers -- Fiction', 'Mississippi River -- Fiction'}",1899.0,Edward+Zile,With+Sword,https://www.worldcat.org/search?q=Edward+Zile+With+Sword&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG59975,The Impostor: A Tale of Old Annapolis,"Scott, John Reed",8,"{'Impostors and imposture -- Fiction', 'Annapolis (Md.) -- History -- Colonial period, ca. 1600-1775 -- Fiction'}",1910.0,John+Scott,Impostor+Tale,https://www.worldcat.org/search?q=John+Scott+Impostor+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33230,The Gray Mask,"Camp, Wadsworth",12,"{'Detective and mystery stories', 'Adventure stories', 'Detectives -- Fiction'}",1920.0,Wadsworth+Camp,Gray+Mask,https://www.worldcat.org/search?q=Wadsworth+Camp+Gray+Mask&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7501,Tales of the Wilderness,"Pilniak, Boris",19,"{'Pilniak, Boris, 1894-1937 -- Translations into English', 'Soviet Union -- Social life and customs -- Fiction'}",1900.0,Boris+Pilniak,Tales+Wilderness,https://www.worldcat.org/search?q=Boris+Pilniak+Tales+Wilderness&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG584,"Our Nig; Or, Sketches from the Life of a Free Black, in a Two-story White House, North: Showing That Slavery's Shadows Fall Even There","Wilson, Harriet E.",377,"{'Autobiographical fiction', 'African American women -- Fiction', 'New England -- Fiction', 'African American women household employees -- Fiction', 'Racism -- Fiction', 'Free African Americans -- Fiction'}",1907.0,Harriet+Wilson,Sketches+from,https://www.worldcat.org/search?q=Harriet+Wilson+Sketches+from&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7334,"With Buller in Natal, Or, a Born Leader","Henty, G. A. (George Alfred)",67,"{'South African War, 1899-1902 -- Fiction'}",1901.0,Henty,With+Buller,https://www.worldcat.org/search?q=Henty+With+Buller&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG25551,Six Girls: A Home Story,"Irving, Fannie Belle",27,"{'Sisters -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Girls -- Juvenile fiction'}",1882.0,Fannie+Irving,Girls+Home,https://www.worldcat.org/search?q=Fannie+Irving+Girls+Home&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18708,Dr. Dumany's Wife,"Jókai, Mór",28,{'Fiction'},1891.0,Mór+Jókai,Dumany+Wife,https://www.worldcat.org/search?q=Mór+Jókai+Dumany+Wife&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG38144,The Mistress of Bonaventure,"Bindloss, Harold",12,"{'Adventure stories', 'Police -- Canada -- Fiction'}",1900.0,Harold+Bindloss,Mistress+Bonaventure,https://www.worldcat.org/search?q=Harold+Bindloss+Mistress+Bonaventure&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5636,Winding Paths,"Page, Gertrude",4,"{'London (England) -- Fiction', 'Female friendship -- Fiction'}",1911.0,Gertrude+Page,Winding+Paths,https://www.worldcat.org/search?q=Gertrude+Page+Winding+Paths&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG58712,"Campfire Girls' Lake Camp; or, Searching for New Adventures","Francis, Stella M.",16,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction', 'Camp Fire Girls -- Juvenile fiction', ""Children's stories, American"", 'Camping -- Juvenile fiction', 'Pocahontas, -1617 -- Juvenile fiction'}",1912.0,Stella+Francis,Campfire+Girls,https://www.worldcat.org/search?q=Stella+Francis+Campfire+Girls&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG38665,The Courtship of Morrice Buckler: A Romance,"Mason, A. E. W. (Alfred Edward Woodley)",25,"{'Historical fiction', 'Great Britain -- History -- James II, 1685-1688 -- Fiction'}",1896.0,Mason,Courtship+Morrice,https://www.worldcat.org/search?q=Mason+Courtship+Morrice&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33521,Little Frankie at His Plays,"Leslie, Madeline",11,"{'Children -- Conduct of life -- Juvenile fiction', 'Play -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Families -- Juvenile fiction', 'Dogs -- Juvenile fiction', 'Christian life -- Juvenile fiction'}",1860.0,Madeline+Leslie,Little+Frankie,https://www.worldcat.org/search?q=Madeline+Leslie+Little+Frankie&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3836,Swiss Family Robinson,"Wyss, Johann David",709,"{'Islands -- Fiction', 'Survival -- Fiction', 'Family life -- Fiction'}",1900.0,Johann+Wyss,Swiss+Family,https://www.worldcat.org/search?q=Johann+Wyss+Swiss+Family&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1590,The Amazing Interlude,"Rinehart, Mary Roberts",49,"{'World War, 1914-1918 -- Fiction'}",1918.0,Mary+Rinehart,Amazing+Interlude,https://www.worldcat.org/search?q=Mary+Rinehart+Amazing+Interlude&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21463,Voyages and Travels of Count Funnibos and Baron Stilkin,"Kingston, William Henry Giles",9,"{'Friendship -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Wit and humor, Juvenile', 'Voyages and travels -- Juvenile fiction', 'Sailors -- Juvenile fiction'}",1870.0,William+Kingston,Voyages+Travels,https://www.worldcat.org/search?q=William+Kingston+Voyages+Travels&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6058,Bricks Without Straw: A Novel,"Tourgée, Albion Winegar",5,"{'Reconstruction (U.S. history, 1865-1877) -- Fiction', 'Southern States -- Fiction', 'African Americans -- Southern States -- Fiction', 'Historical fiction', 'Freedmen -- Southern States -- Fiction'}",1880.0,Albion+Tourgée,Bricks+Without,https://www.worldcat.org/search?q=Albion+Tourgée+Bricks+Without&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42328,An Unofficial Patriot,"Gardener, Helen H. (Helen Hamilton)",23,"{'United States -- History -- Civil War, 1861-1865 -- Fiction'}",1894.0,Helen+Gardener,Unofficial+Patriot,https://www.worldcat.org/search?q=Helen+Gardener+Unofficial+Patriot&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53157,Wood and Stone: A Romance,"Powys, John Cowper",15,"{'Man-woman relationships -- Fiction', 'Wessex (England) -- Fiction'}",1915.0,John+Powys,Wood+Stone,https://www.worldcat.org/search?q=John+Powys+Wood+Stone&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30110,Name and Fame: A Novel,"Sergeant, Adeline",24,{'Fiction'},1890.0,Adeline+Sergeant,Name+Fame,https://www.worldcat.org/search?q=Adeline+Sergeant+Name+Fame&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4296,Friarswood Post Office,"Yonge, Charlotte M. (Charlotte Mary)",10,"{'Christian life -- Fiction', 'Children with disabilities -- Fiction', 'Brothers and sisters -- Fiction', 'Children -- Death -- Fiction', 'Child labor -- Fiction', 'Postal service -- Fiction'}",1860.0,Charlotte+Yonge,Friarswood+Post,https://www.worldcat.org/search?q=Charlotte+Yonge+Friarswood+Post&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42521,God and the King,"Bowen, Marjorie",26,"{'James II, King of England, 1633-1701 -- Fiction', 'Great Britain -- History -- Revolution of 1688 -- Fiction'}",1912.0,Marjorie+Bowen,King,https://www.worldcat.org/search?q=Marjorie+Bowen+King&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4644,The Adventures of Mr. Verdant Green,"Bede, Cuthbert",134,{'University of Oxford -- Fiction'},1853.0,Cuthbert+Bede,Adventures+Verdant,https://www.worldcat.org/search?q=Cuthbert+Bede+Adventures+Verdant&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG25283,Explorers of the Dawn,"De la Roche, Mazo",39,"{'Governesses -- Fiction', 'Brothers -- Fiction'}",1922.0,Mazo+Roche,Explorers+Dawn,https://www.worldcat.org/search?q=Mazo+Roche+Explorers+Dawn&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG45617,Redskin and Cow-Boy: A Tale of the Western Plains,"Henty, G. A. (George Alfred)",45,"{'Youth -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'West (U.S.) -- Juvenile fiction', 'Cowboys -- Juvenile fiction', 'Shooting -- Juvenile fiction', 'Indians of North America -- Juvenile fiction', 'Outdoor life -- Juvenile fiction'}",1891.0,Henty,Redskin+Tale,https://www.worldcat.org/search?q=Henty+Redskin+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG27981,The Plant Hunters: Adventures Among the Himalaya Mountains,"Reid, Mayne",22,"{'Plant collectors -- Fiction', 'Himalaya Mountains -- Fiction', 'Brothers -- Fiction', 'Adventure and adventurers -- Fiction'}",1858.0,Mayne+Reid,Plant+Hunters,https://www.worldcat.org/search?q=Mayne+Reid+Plant+Hunters&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2126,The Quest of the Sacred Slipper,"Rohmer, Sax",65,"{'London (England) -- Fiction', 'Detective and mystery stories', 'Assassins -- Fiction', 'Relics -- Fiction', 'Murder -- Fiction'}",1913.0,Sax+Rohmer,Quest+Sacred,https://www.worldcat.org/search?q=Sax+Rohmer+Quest+Sacred&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41022,"Clara Vaughan, Volume 3 (of 3)","Blackmore, R. D. (Richard Doddridge)",16,"{""Murder victims' families -- Fiction"", 'Mystery fiction'}",1864.0,Blackmore,Clara+Vaughan,https://www.worldcat.org/search?q=Blackmore+Clara+Vaughan&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG43569,Bobby in Search of a Birthday,"Mitchell, Lebbeus",7,"{'Birthdays -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Boys -- Juvenile fiction'}",1916.0,Lebbeus+Mitchell,Bobby+Search,https://www.worldcat.org/search?q=Lebbeus+Mitchell+Bobby+Search&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7586,The Caxtons: A Family Picture — Volume 01,"Lytton, Edward Bulwer Lytton, Baron",6,"{'English fiction -- 19th century', 'Families -- Fiction'}",1849.0,Edward+Lytton,Caxtons+Family,https://www.worldcat.org/search?q=Edward+Lytton+Caxtons+Family&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21358,The Ocean Cat's Paw: The Story of a Strange Cruise,"Fenn, George Manville",15,"{'Voyages and travels -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Sailing -- Juvenile fiction'}",1904.0,George+Fenn,Ocean+Story,https://www.worldcat.org/search?q=George+Fenn+Ocean+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56415,Making the Nine,"Dudley, Albertus T. (Albertus True)",12,"{'Friendship -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Baseball -- Juvenile fiction', 'Success -- Juvenile fiction', 'Phillips Exeter Academy -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Students -- Juvenile fiction', 'Sports -- Juvenile fiction', 'Education -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Schools -- Juvenile fiction'}",1904.0,Albertus+Dudley,Making+Nine,https://www.worldcat.org/search?q=Albertus+Dudley+Making+Nine&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
