;author;title;year;avgsentlen
PG25473;Wyn+Roosevelt;Frontier+Boys;1908;21.204158145875937
PG24933;Edgar+Wallace;Knew;1930;19.34013230429989
PG34916;James+Cooper;Chainbearer+Littlepage;1845;31.234734868773433
PG66415;Bernard+Capes;Lake+Wine;1898;19.651907273396297
PG52632;Percy+Westerman;Third+Officer;1921;20.07897258961089
PG25059;Louis+Becke;North+1901;1901;30.879256965944272
PG28221;Evelyn+Raymond;Dorothy+Triumph;1909;21.50687120485778
PG24945;McNeile;Mufti;1919;19.275533206173055
PG63142;Mrs+Oliphant;Harry+Joscelyn;1880;25.4889486260454
PG5227;Marion+Crawford;Sant+Ilario;1889;21.361502830674215
PG25032;William+Kingston;Yacht+Voyage;1879;28.479466387653677
PG54074;Clarence+Darrow;Blue+Book;1899;29.470134091832588
PG32279;Nina+Rhoades;Children+Floor;1904;22.27269288956127
PG5830;Louisa+Alcott;Garland+Girls;1888;32.123638918159465
PG32924;George+Fenn;Mistress+Tale;1805;25.32880902313133
PG36016;Alexandre+Dumas;Prussian+Terror;1900;21.41308190925162
PG56883;Joel+Harris;Balaam+Master;1884;22.183275058275058
PG21770;Henry+James;Author+Beltraffio;1907;28.473928157589803
PG1841;Honoré+Balzac;Marcas;1896;26.01440329218107
PG453;Edna+Ferber;Emma+McChesney;1915;17.611861421021725
PG16544;John+Blaine;Scouts+Russia;1916;17.02046204620462
PG5510;Georg+Ebers;Arachne;1880;33.63385826771653
PG14420;Saavedra+Cervantes;Exemplary+Novels;1822;39.0814989077466
PG50400;Robert+Bowen;Dave+Dawson;1943;14.524797114517584
PG7368;Susan+Glaspell;Lifted+Masks;1912;21.22644539614561
PG24903;Nell+Speed;Molly+Brown;1912;19.279744816586923
PG53692;Frank+Baum;Flying+Girl;1901;20.32167658730159
PG64997;Richard+Marsh;Joss+Reversion;1901;15.969716578232173
PG19458;Mrs+West;Loyalists+Historical;1812;37.60847628657921
PG6058;Albion+Tourgée;Bricks+Without;1880;25.16430560600557
PG5099;Rex+Beach;Heart+Sunset;1916;17.146839466927496
PG21652;Edward+Ellis;Klondike+Nuggets;1898;25.488139167105956
PG46477;Harvey+Ralphson;Scouts+Open;1910;25.774413065668593
PG56335;Herbert+Lisser;Susan+Proudleigh;1915;22.20780568818767
PG60407;Harry+Castlemon;Mystery+Lost;1883;24.39957378795951
PG17183;Frazer;Atmâ+Romance;1891;30.3212890625
PG43993;Havell;Stories+from;1908;32.67732662594322
PG2601;Charlotte+Yonge;Heartsease+Brother;1854;21.685813872429417
PG49033;Bain;Draught+Blue;1900;28.20137420718816
PG41410;Howard+Garis;Dick+Hamilton;1899;16.936632843238765
PG19706;Sax+Rohmer;Brood+Witch;1900;19.409302325581397
PG58270;Edward+Greey;Blue+Jackets;1870;30.93689157435381
PG38276;Gordon+Stables;Cruise+Snowbird;1883;25.697186147186148
PG23730;James+Hendryx;Promise+Tale;1915;22.900609643450952
PG44576;Anne+McQueen;Girls+Silver;1913;23.91123974915581
PG26714;Manwell;Captain+Bunk;1890;21.760017421602786
PG54961;Bowen;Farthing+Made;1800;16.1776
PG51912;Alfred+Lewis;Boss+Came;1903;21.87192952735897
PG2725;Grace+Richmond;Pepper+Burns;1910;18.40681233933162
PG30094;Allen+Chapman;Fred+Fenton;1913;24.530365899660506
PG48199;Mrs+Oliphant;Hester+Story;1883;21.809137803979365
PG54995;Howard+Garis;Uncle+Wiggily;1922;19.92804750261963
PG6106;Henry+Canby;Definitions+Essays;1922;28.405696202531647
PG66558;Sydney+Grier;Prince+Captivity;1902;23.23795681063123
PG133;Harold+Frederic;Damnation+Theron;1896;23.401950327594086
PG36221;Louisa+Alcott;Spinning+Wheel;1884;29.936257494477754
PG65588;Gratacap;Evacuation+England;1908;34.93528265107212
PG44498;William+Russell;Wreck+Grosvenor;1877;23.290120883701544
PG25438;Philip+Nowlan;Airlords;1900;30.142745098039217
PG30115;Anne+Sedgwick;Tante;1911;19.514635340186
PG21830;Lillian+Shearon;Little+Mixer;1922;18.539473684210527
PG31804;Molly+Seawell;Francezka;1902;26.107622592652532
PG23388;Ballantyne;Wrecked+Ruined;1800;30.81637931034483
PG62336;William+Russell;Master+Rockafellar;1890;31.870708872046368
PG38665;Mason;Courtship+Morrice;1896;20.745728976613037
PG53486;Marion+Crawford;Three+Fates;1892;20.743769823289533
PG43670;Rupert+Holland;Peter+Cotterell;1922;16.921237384817903
