id,title,author,downloads,subjects,birth,death,pyearp
PG2497,Put Yourself in His Place,"Reade, Charles",35,"{'Labor unions -- Fiction', 'English fiction -- 19th century'}",1814.0,1884.0,1849.0
PG32825,The Goddess of Atvatabar: Being the history of the discovery of the interior world and conquest of Atvatabar,"Bradshaw, William Richard",237,{'Science fiction'},1851.0,1927.0,1889.0
PG39652,Vayenne,"Brebner, Percy James",11,"{'British -- Foreign countries -- Fiction', 'Adventure stories', 'Love stories'}",1864.0,1922.0,1893.0
PG40111,In Silk Attire: A Novel,"Black, William",13,{'Fiction'},1841.0,1898.0,1870.0
PG504,The Fifth String,"Sousa, John Philip",16,"{'Love stories', 'Violinists -- Fiction'}",1854.0,1932.0,1893.0
PG44380,The Buccaneer Chief: A Romance of the Spanish Main,"Aimard, Gustave",12,{'Buccaneers -- Fiction'},1818.0,1883.0,1850.0
PG1900,Typee: A Romance of the South Seas,"Melville, Herman",382,"{'Indigenous peoples -- Fiction', 'Sailors -- Fiction', 'Adventure stories', 'Marquesas Islands (French Polynesia) -- Fiction'}",1819.0,1891.0,1855.0
PG4474,One of Our Conquerors — Volume 4,"Meredith, George",2,"{'Great Britain -- Politics and government -- 19th century -- Fiction', 'English fiction -- 19th century', 'England -- Social conditions -- 19th century -- Fiction'}",1828.0,1909.0,1868.0
PG5456,An Egyptian Princess — Volume 07,"Ebers, Georg",4,"{'German fiction -- Translations into English', 'Egypt -- History -- To 332 B.C. -- Fiction'}",1837.0,1898.0,1868.0
PG21127,The Mystics: A Novel,"Thurston, Katherine Cecil",15,"{'Uncles -- Fiction', 'Man-woman relationships -- Fiction', 'Impostors and imposture -- Fiction', 'Cults -- Fiction', 'Inheritance and succession -- Fiction'}",1875.0,1911.0,1893.0
PG23664,Flamsted quarries,"Waller, Mary E. (Mary Ella)",27,{'Fiction'},1855.0,1938.0,1896.0
PG36672,Tripping with the Tucker Twins,"Speed, Nell",19,"{'Twins -- Juvenile fiction', 'Automobiles -- Juvenile fiction', 'Travel -- Juvenile fiction', 'South Carolina -- Description and travel -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction'}",1878.0,1913.0,1896.0
PG22667,Joan of Arc of the North Woods,"Day, Holman",14,{'Logging -- Fiction'},1865.0,1935.0,1900.0
PG5820,"The Gilded Age, Part 3.","Warner, Charles Dudley",8,"{'Businessmen -- Fiction', 'Washington (D.C.) -- Fiction', 'Speculation -- Fiction', 'Satire', 'Political fiction', 'Legislators -- Fiction', 'Political corruption -- Fiction'}",1829.0,1900.0,1864.0
PG30852,"The Tin Woodman of Oz: A Faithful Story of the Astonishing Adventure Undertaken; by the Tin Woodman, assisted by Woot the Wanderer, the; Scarecrow of Oz, and Polychrome, the Rainbow's Daughter","Baum, L. Frank (Lyman Frank)",213,"{'Boys -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Soldiers -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Tin Woodman (Fictitious character) -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Love -- Juvenile fiction', 'Wizards -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction'}",1856.0,1919.0,1888.0
PG36390,Erskine Dale—Pioneer,"Fox, John, Jr.",16,"{'United States -- History -- Revolution, 1775-1783 -- Fiction'}",1862.0,1919.0,1890.0
PG53995,A Study In Shadows,"Locke, William John",13,"{'Geneva (Switzerland) -- Fiction', 'Mate selection -- Fiction', 'Boardinghouses -- Fiction', 'Man-woman relationships -- Fiction'}",1863.0,1930.0,1896.0
PG55142,"Rough and Ready; Or, Life Among the New York Newsboys","Alger, Horatio, Jr.",33,"{'Friendship -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Success -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Paperboys -- Juvenile fiction', 'Self culture -- Juvenile fiction'}",1832.0,1899.0,1866.0
PG34252,Vanitas: Polite Stories,"Lee, Vernon",42,{'English fiction'},1856.0,1935.0,1896.0
PG44770,Daisy's Work: The Third Commandment,"Mathews, Joanna H. (Joanna Hooe)",13,"{'Friendship -- Juvenile fiction', 'Missing children -- Juvenile fiction', 'Benevolence -- Juvenile fiction', 'Ten commandments -- Juvenile fiction', 'Ten commandments -- Name of God -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Swearing -- Juvenile fiction'}",1849.0,1901.0,1875.0
PG59277,Redeemed,"Downs, George Sheldon, Mrs.",3,"{'United States -- Fiction', 'Divorce -- Fiction', 'Conduct of life -- Fiction'}",1843.0,1926.0,1884.0
PG59177,The Lone Wolf Returns,"Vance, Louis Joseph",14,{'Jewel thieves -- Fiction'},1879.0,1933.0,1906.0
PG34461,Red Hunters and the Animal People,"Eastman, Charles A.",78,"{'Dakota Indians -- Juvenile fiction', 'Indians of North America -- Juvenile fiction'}",1858.0,1939.0,1898.0
PG14710,Uncle Titus and His Visit to the Country,"Spyri, Johanna",15,"{'Authors -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Switzerland -- Juvenile fiction'}",1827.0,1901.0,1864.0
PG45659,Girls New and Old,"Meade, L. T.",19,"{'England -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Boarding schools -- Juvenile fiction', 'Women -- Education -- Juvenile fiction', 'Young women -- Conduct of life -- Juvenile fiction'}",1854.0,1914.0,1884.0
PG9968,"The Young Woodsman; Or, Life in the Forests of Canada","Oxley, J. Macdonald (James Macdonald)",4,"{'Canada -- Juvenile fiction', 'Adventure stories', 'Friendship -- Juvenile fiction', 'Mothers and sons -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Logging -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Hunting -- Fiction', 'Outdoor life -- Juvenile fiction', 'Youth and death -- Juvenile fiction', 'Lumber camps -- Juvenile fiction', 'Christian life -- Juvenile fiction'}",1855.0,1907.0,1881.0
PG2870,Washington Square,"James, Henry",857,"{'Washington Square (New York, N.Y.) -- Fiction', 'Fathers and daughters -- Fiction', 'Love stories', 'Domestic fiction', 'Young women -- Fiction'}",1843.0,1916.0,1880.0
PG1906,"Erewhon; Or, Over the Range","Butler, Samuel",411,"{'Utopias -- Fiction', 'Utopian fiction', 'Satire'}",1835.0,1902.0,1868.0
PG11140,"Rollo at Play; Or, Safe Amusements","Abbott, Jacob",85,"{'Play -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Amusements -- Juvenile fiction'}",1803.0,1879.0,1841.0
PG61442,A House Divided Against Itself; vol. 1 of 3,"Oliphant, Mrs. (Margaret)",2,{'Fiction'},1828.0,1897.0,1862.0
PG25753,"Radio Boys Loyalty; Or, Bill Brown Listens In","Whipple, Wayne",85,"{'Detective and mystery stories', 'Marconi, Guglielmo, marchese, 1874-1937 -- Juvenile fiction', 'Kidnapping -- Juvenile fiction', 'Radio -- Juvenile fiction'}",1856.0,1942.0,1899.0
PG66349,The Cosmic Courtship,"Hawthorne, Julian",229,"{'Inventions -- Fiction', 'Man-woman relationships -- Fiction', 'Interplanetary voyages -- Fiction', 'Saturn (Planet) -- Fiction', 'Science fiction'}",1846.0,1934.0,1890.0
PG28192,Mr. Turtle's Flying Adventure: Hollow Tree Stories,"Paine, Albert Bigelow",17,{'Animals -- Juvenile fiction'},1861.0,1937.0,1899.0
PG13379,The Two Elsies: A Sequel to Elsie at Nantucket,"Finley, Martha",22,"{'Families -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Christmas -- Juvenile fiction', 'Dinsmore, Elsie (Fictitious character) -- Juvenile fiction'}",1828.0,1909.0,1868.0
PG25893,Beatrice Leigh at College: A Story for Girls,"Schwartz, Julia Augusta",10,"{'College stories', 'Young women -- Juvenile fiction'}",1873.0,1957.0,1915.0
PG4948,"Love, the Fiddler","Osbourne, Lloyd",5,"{'Short stories, American', 'Manners and customs -- Fiction'}",1868.0,1947.0,1908.0
PG16698,The King's Arrow: A Tale of the United Empire Loyalists,"Cody, H. A. (Hiram Alfred)",8,{'United Empire loyalists -- Fiction'},1872.0,1948.0,1910.0
