id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG34002,Dick's Desertion: A Boy's Adventures in Canadian Forests: A Tale of the Early Settlement of Ontario,"Pickthall, Marjorie L. C. (Marjorie Lowry Christie)",1883.0,1922.0,['en'],24,"{'Boys -- Juvenile fiction', 'Ontario -- History -- Juvenile fiction'}",
PG34003,Left on the Prairie,"West, Noel",,,['en'],12,"{'Cowboys -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Prairies -- United States -- Juvenile fiction'}",
PG34009,Stranded in Arcady,"Lynde, Francis",1856.0,1930.0,['en'],36,"{'Canada -- Fiction', 'Mystery fiction', 'Survival -- Fiction'}",
PG34016,Unc' Edinburg: A Plantation Echo,"Page, Thomas Nelson",1853.0,1922.0,['en'],13,"{'Plantation life -- Fiction', 'African Americans -- Virginia -- Fiction'}",
PG34017,Deep Moat Grange,"Crockett, S. R. (Samuel Rutherford)",1860.0,1914.0,['en'],31,"{'Mystery fiction', 'Northumberland (England) -- Fiction', 'Murder -- Fiction'}",
PG34020,The Window at the White Cat,"Rinehart, Mary Roberts",1876.0,1958.0,['en'],86,"{'Mystery and detective stories', 'Lawyers -- Fiction', 'Love stories', 'Political corruption -- Fiction'}",
PG34021,Small Souls,"Couperus, Louis",1863.0,1923.0,['en'],48,"{'Netherlands -- Fiction', 'Families -- Fiction'}",
PG34023,The Bread Line: A Story of a Paper,"Paine, Albert Bigelow",1861.0,1937.0,['en'],5,"{'Journalism -- Fiction', 'Newspaper publishing -- Fiction'}",
PG34024,"Ruth Fielding at Lighthouse Point; or, Nita, the Girl Castaway","Emerson, Alice B.",,,['en'],32,"{'Boarding school students -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Runaway children -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Fielding, Ruth (Fictitious character) -- Juvenile fiction', 'Lighthouses -- Juvenile fiction'}",
PG34034,The Belovéd Traitor,"Packard, Frank L. (Frank Lucius)",1877.0,1942.0,['en'],25,{'Fiction'},
PG34035,The Hillman,"Oppenheim, E. Phillips (Edward Phillips)",1866.0,1946.0,['en'],17,"{'Detective and mystery stories', 'Fiction'}",
PG34045,A Christmas Child: A Sketch of a Boy-Life,"Molesworth, Mrs.",1839.0,1921.0,['en'],25,"{'Brothers and sisters -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Death -- Juvenile fiction', 'Sick -- Juvenile fiction', 'Families -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Christmas -- Juvenile fiction'}",
PG34046,Whispering Wires,"Leverage, Henry",1885.0,,['en'],5,"{'Detective and mystery stories', 'Fiction'}",
PG3404,April Hopes,"Howells, William Dean",1837.0,1920.0,['en'],12,"{'Boston (Mass.) -- Fiction', 'Love stories', 'Courtship -- Fiction'}",
PG34053,"The Palace of Pleasure, Volume 2",,,,['en'],66,"{'Italian fiction -- Translations into English', 'French fiction -- Translations into English'}",
PG34057,When 'Bear Cat' Went Dry,"Buck, Charles Neville",1879.0,1957.0,['en'],10,"{'Temperance -- Fiction', 'Mountain life -- Fiction', 'Cumberland Mountains -- Fiction'}",
PG34058,The Crime of the Boulevard,"Claretie, Jules",1840.0,1913.0,['en'],19,"{'Detective and mystery stories, French -- Translations into English', 'Fiction'}",
PG3405,Ragged Lady — Volume 1,"Howells, William Dean",1837.0,1920.0,['en'],5,"{'Young women -- Fiction', 'Americans -- Italy -- Fiction', 'New England -- Fiction'}",
PG34065,The Sentimental Adventures of Jimmy Bulstrode,"Van Vorst, Marie",1867.0,1936.0,['en'],8,"{'Bachelors -- Fiction', 'Man-woman relationships -- Fiction', 'Married women -- Fiction', 'Rich people -- Fiction'}",
PG3406,Ragged Lady — Volume 2,"Howells, William Dean",1837.0,1920.0,['en'],3,"{'New England -- Fiction', 'Americans -- Italy -- Fiction', 'Young women -- Fiction'}",
PG34088,A Poached Peerage,"Magnay, William, Sir",1855.0,1917.0,['en'],17,{'Fiction'},
PG34089,"The Celestial Omnibus, and Other Stories","Forster, E. M. (Edward Morgan)",1879.0,1970.0,['en'],289,"{'English fiction -- 20th century', 'Short stories, English'}",
PG3408,"The Shame of Motley: being the memoir of certain transactions in the life of Lazzaro Biancomonte, of Biancomonte, sometime fool of the court of Pesaro","Sabatini, Rafael",1875.0,1950.0,['en'],30,"{'Historical fiction', 'Borgia, Cesare, 1476?-1507 -- Fiction', 'Italy -- History -- 1492-1559 -- Fiction'}",
PG3409,Barchester Towers,"Trollope, Anthony",1815.0,1882.0,['en'],265,"{'Clergy -- Fiction', 'Domestic fiction', 'Barchester (England : Imaginary place) -- Fiction', 'Barsetshire (England: Imaginary place) -- Fiction'}",
PG34100,Lefty Locke Pitcher-Manager,"Standish, Burt L.",1866.0,1945.0,['en'],25,"{'Swindlers and swindling -- Juvenile fiction', 'Teamwork (Sports) -- Juvenile fiction', 'Baseball stories', 'Baseball managers -- Juvenile fiction'}",
PG34102,A Divided Heart and Other Stories,"Heyse, Paul",1830.0,1914.0,['en'],13,{'German fiction -- Translations into English'},
PG34104,Four Phases of Love,"Heyse, Paul",1830.0,1914.0,['en'],21,{'German fiction -- Translations into English'},
PG34105,Idonia: A Romance of Old London,"Wallis, Arthur Frederick",1874.0,,['en'],13,"{'London (England) -- Fiction', 'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction'}",
PG34109,"Sister Dolorosa, and Posthumous Fame","Allen, James Lane",1849.0,1925.0,['en'],16,{'Kentucky -- Social life and customs -- Fiction'},
PG3411,The Stokesley Secret,"Yonge, Charlotte M. (Charlotte Mary)",1823.0,1901.0,['en'],44,{'Family -- Juvenile fiction'},
PG34121,"Calavar; or, The Knight of The Conquest, A Romance of Mexico","Bird, Robert Montgomery",1806.0,1854.0,['en'],11,"{'Mexico -- History -- Conquest, 1519-1540 -- Fiction'}",
PG34129,The Trail of Conflict,"Loring, Emilie Baker",1864.0,1951.0,['en'],18,{'Fiction'},
