;author;title;year;avgsentlen
PG24151;Frank+Long;Trap;1958;14.773809523809524
PG22194;James+Richardson;Spring+Street;1938;19.178565284706693
PG2048;Washington+Irving;Sketch+Book;1831;37.13257222739981
PG34681;Edward+Ellis;Frontier+Angel;1888;20.4763202725724
PG45022;Horatio+Alger;Bernard+Brooks;1876;14.11652078774617
PG23339;Everett+Cole;Indirection;1958;16.979094076655052
PG51136;Alan+Cogan;Nothing+Best;1959;16.01780415430267
PG54485;Adam+Seaborn;Symzonia+Voyage;1820;40.106831395348834
PG18158;Mary+Freeman;Butterfly+House;1901;20.591632292280494
PG21617;Anna+Green;That+Affair;1900;23.14204934886909
PG19671;Legh+Richmond;Annals+Poor;1800;26.682726623840114
PG29947;Morris+Hershman;Spacemen+Never;1946;18.738636363636363
PG44888;Charles+Flandrau;Diary+Freshman;1901;30.445685279187817
PG10496;Louis+Vance;Masquerade+Being;1921;24.750355821235413
PG63320;Arthur+Marchmont;When+Czar;1900;16.971620612397313
PG44252;James;Richelieu+Tale;1800;35.17246835443038
PG1654;Bernard+Shaw;Unsocial+Socialist;1930;20.089514497639918
PG50819;Fritz+Leiber;Sales;1943;14.852534562211982
PG31421;Edward+Ellis;Through+Apache;1888;26.12860013395847
PG43065;Eaton+Barrett;Heroine;1814;22.580395256916997
PG45457;Edith+Lavell;Linda+Carlton;1931;16.824721878862793
PG37621;zef+Kraszewski;;1860;17.15957320687611
PG22124;Keyworth;Golden+Shoemaker;1822;22.117573221757322
PG9840;Benjamin+Disraeli;Vivian+Grey;1826;24.026533358969427
PG22215;William+Russell;Frozen+Pirate;1887;32.312890812890814
PG31100;Jane+Austen;Complete+Project;1806;25.625
PG59967;Mrs+Greene;Angels+Wings;1840;24.7765719757421
PG45417;Dorothy+Wayne;Dorothy+Dixon;1933;15.310431856421761
PG2072;Benson;Michael;1914;22.342438703307554
PG18807;Beam+Piper;Walked+Around;1944;30.25862068965517
PG53688;Charles+Maturin;Melmoth+Wanderer;1821;38.58556263269639
PG15241;Carolyn+Verhoeff;About+Johnnie;1907;22.849200304645848
PG5959;Walter+Scott;Peveril+Peak;1823;38.550462351387054
PG46358;Owen+Johnson;Fargus;1925;18.007363353157746
PG4360;Marie+Corelli;Vendetta+Story;1886;21.64682723483094
PG50885;Joseph+Samachson;Weather+Mercury;1953;14.893523600439078
PG1871;Honoré+Balzac;Deputy+Arcis;1834;28.58095899930507
PG4033;Eliza+Follen;Spoke+Next;1834;26.292763157894736
PG24392;Ralph+Williams;Mouse;1946;22.332758620689656
PG9213;Nathaniel+Hawthorne;Seven+Vagabonds;1842;42.55329949238579
PG32440;Robert+Bowen;Dave+Dawson;1943;14.457442258340462
PG64744;Stanley+Mullen;Suicide+Command;1952;12.641653905053598
PG34953;Adolf+Streckfuss;Quicksands;1869;24.247899159663866
PG11520;Ethel+Dell;Obstacle+Race;1921;13.24067956583294
PG60950;Rita+Weiman;Footlights;1932;15.797910924125924
PG20781;Johanna+Spyri;Heidi+Gift;1874;18.12759722962174
PG21579;Frederick+Marryat;Snarleyyow+Fiend;1800;28.061200237670825
PG35294;Amelia+Opie;Wife+Duty;1806;31.08039376538146
PG1971;Samuel+Butler;Erewhon+Revisited;1878;30.492504164353136
PG22835;Mary+Mitford;London+Visitor;1800;43.96103896103896
PG29457;Edwin+Sloat;Loot+Void;1950;17.75314465408805
PG54100;Edna+Lyall;Wayfaring+Novel;1897;24.318033233451377
PG5536;Georg+Ebers;Thorny+Path;1880;27.396205357142858
PG22060;Henty;Young+Franc;1872;24.325713273081693
PG49315;Claire+Duras;Ourika;1824;22.579298831385643
PG33372;Francis+Woodworth;Peddler+Somebody;1851;21.474770642201836
PG29415;Harold+Avery;Soldiers+Queen;1890;21.86543335022808
PG55896;Albertus+Dudley;With+Mask;1906;21.475620975160993
PG23191;William+Kingston;Count+Ulrich;1868;29.334919124643196
PG30732;Clara+Viebig;Mother;1913;19.52473242695979
PG1931;Phillips+Oppenheim;Zeppelin+Passenger;1918;15.620368713083945
PG2694;Herman+Melville;Chimney;1865;30.004
PG23324;Frances+Burnett;Surly+Lancashire;1875;28.67391304347826
PG15895;Mrs+Adams;Allegories+Life;1875;23.716795502459593
PG30761;Winterbotham;Minus+Woman;1948;15.402298850574713
PG11869;Benjamin+Disraeli;Venetia;1837;24.07909864336629
PG1289;Charles+Dickens;Three+Ghost;1851;28.260649087221097
PG40518;Paul+Kock;Bath+Keepers;1842;22.042498279421885
PG37161;Angela+Brazil;Girls+Cyprian;1900;22.562737642585553
PG50886;Marion+Crawford;Katherine+Lauderdale;1880;20.693188667872214
PG7005;Walter+Scott;Antiquary+Complete;1800;36.890799935096545
PG24024;William+Stone;Downs+Life;1828;34.14586160108548
PG39802;Sir+Bashford;Tommy+Wideawake;1930;19.1143006263048
PG44670;Dorothy+Wayne;Dorothy+Dixon;1933;16.335316217908577
PG5497;Georg+Ebers;Homo;1878;35.548231511254016
PG61442;Mrs+Oliphant;House+Divided;1872;22.267291910902696
PG66120;James+Grant;Scottish+Cavalier;1850;31.60727013542409
PG25628;Tom+Godwin;Nothing+Equation;1958;23.14723926380368
PG21556;Frederick+Marryat;Travels+Adventures;1843;36.71691315889268
PG24310;Katherine+Purdon;Candle+Crib;1914;22.074946466809422
PG41718;Robert+Bowen;Dave+Dawson;1943;16.87842731505432
PG22365;Oliver+Optic;Little+Little;1870;21.763378230797233
PG51436;Fritz+Leiber;Bullet+with;1948;22.5409604519774
PG26241;;Antony+Gray;1943;17.472016895459344
PG54867;Friedrich+Strauss;Helon+Pilgrimage;1824;21.754173989455186
PG24911;Walter+Mott;Young+Glory;1944;12.669586983729662
PG4444;George+Meredith;Adventures+Harry;1897;22.135365853658538
PG50259;Robert+Bowen;Dave+Dawson;1943;16.62863765130054
PG13527;Jules+Verne;Ticket+9672;1886;22.85433070866142
PG41212;Matthew+Hartstonge;Hallows+Adelaide;1825;39.83003300330033
PG21464;William+Kingston;Gilpins+their;1857;28.14054054054054
PG7740;Edward+Lytton;Parisians;1872;29.713793103448275
PG9151;Harry+Wilson;Ruggles;1915;22.994672624162227
PG38573;Moberly;Christina;1811;26.343943943943945
PG57844;Alden;Adventures+Jimmy;1885;30.368390804597702
PG51241;Dave+Dryfoos;Bridge+Crossing;1952;15.741784037558686
PG7729;Edward+Lytton;Paul+Clifford;1848;30.416370106761565
PG1680;Honoré+Balzac;Sign+Racket;1834;28.023809523809526
PG53157;John+Powys;Wood+Stone;1915;22.58904852263486
PG25862;Green+Peyton;Chamber+Life;1948;17.45550351288056
PG1357;Honoré+Balzac;Madame+Firmiani;1834;24.7964824120603
PG32632;James+Cooper;Condensed+schools;1830;25.051397655545536
PG31439;Hoffmann;Weird+Tales;1809;33.08421262193908
PG45822;Alexandre+Dumas;Balsamo+Magician;1846;18.65926683218928
PG61466;Maurice+Hewlett;Queen+Quair;1898;19.557574782888388
PG25774;Alan+Sullivan;Rapids;1918;19.832717678100263
PG14813;Maurice+Hewlett;Life+Death;1900;20.346565315315317
PG35474;James+Hogg;Shepherd+Calendar;1829;31.204400694846555
PG17647;Randall+Parrish;Strange+Case;1912;19.75201612903226
PG10816;Alfred+Crowquill;Giant+Hands;1856;29.843065693430656
PG22477;Lawrence;Wintry+Peacock;1922;15.111940298507463
PG42095;Matthew+Hartstonge;Hallows+Adelaide;1825;35.92091007583965
PG28074;Mrs+Hall;Buccaneer+Tale;1832;32.07891770011274
PG6939;Walter+Scott;Mortality;1812;38.682632880098886
PG51018;Leo+Tolstoy;Three+Days;1879;18.437232524964337
PG7477;Lord+Dunsany;Book+Wonder;1928;38.29195088676671
PG18132;Harry+Coghill;Canadian+Heroine;1873;21.703997648442094
PG43975;Frederick+Niven;Lost+Cabin;1908;24.156747489590987
PG36178;Maria+Edgeworth;Little+Trusty;1818;33.36448598130841
PG21344;Edward+Stratemeyer;Young+Bridge;1899;15.351504138905714
PG40997;William+Queux;Forgive+Them;1904;25.133750711439955
PG5566;Georg+Ebers;Barbara+Blomberg;1880;33.96546762589928
PG29303;Joe+Archibald;Operation+Earthworm;1955;17.819905213270143
PG13191;Joseph+Méry;Cross+Berny;1842;26.09340425531915
PG25344;Nathaniel+Hawthorne;Scarlet+Letter;1844;30.264476614699333
PG17260;Mary+Holmes;Tempest+Sunshine;1854;25.939574141569153
PG59529;Henty;Lost+Novel;1869;21.532478632478632
PG1194;Louis+Rougemont;Adventures+Louis;1899;32.09307576517812
PG29916;Cosío+Trueba;Gómez+Arias;1828;28.598986545518084
PG47591;Mrs+Oliphant;Ladies+Lindores;1880;24.205617382087972
PG48068;George+England;Cursed;1916;15.96727531420441
PG31948;Robert+Williams;Thompson;1952;14.117647058823529
PG1710;Honoré+Balzac;Grande+Breteche;1834;25.982885085574573
PG32890;Stephen+Marlowe;Home+Where;1942;13.840354767184035
PG3977;Alphonse+Daudet;Fromont+Risler;1894;25.095611285266457
PG31820;Hoffmann;Serapion+Brethren;1809;29.826143790849674
PG4966;Walter+Scott;Waverley+Sixty;1814;36.24787159804606
PG13982;James+Cooper;Storekeeper+Story;1898;16.89990006662225
PG18945;Frances+Burnett;Robin;1896;18.41027506913113
PG58320;Mrs+Oliphant;Three+Brothers;1869;24.08025106478368
PG48124;Willard+Baker;Dexter+Storm;1835;17.247948951686418
PG41458;William+Queux;Triangle+Romance;1922;21.177160080375085
PG62057;Prentiss+Ingraham;Buffalo+Bill;1884;22.740874363327674
PG23246;Temple+Bailey;Mistress+Anne;1898;15.957942597328787
PG65227;Mrs+Oliphant;John+Love;1870;24.09286354135563
PG7709;Edward+Lytton;Novel;1848;23.684177215189873
