id,title,author,downloads,subjects,birth,death,pyearp
PG10002,The House on the Borderland,"Hodgson, William Hope",797,{'Science fiction'},1877.0,1918.0,1898.0
PG10005,"A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",77,"{'Space flight to the moon -- Fiction', 'Science fiction'}",1775.0,1861.0,1818.0
PG10007,Carmilla,"Le Fanu, Joseph Sheridan",7054,"{'Vampires -- Fiction', 'Young women -- Fiction'}",1814.0,1873.0,1844.0
PG10008,The Mystery,"White, Stewart Edward",25,{'Science fiction'},1873.0,1946.0,1910.0
PG10021,Tenterhooks,"Leverson, Ada",10,"{'London (England) -- Social life and customs -- 20th century -- Fiction', 'Man-woman relationships -- Fiction'}",1862.0,1933.0,1898.0
PG10025,Gaslight Sonatas,"Hurst, Fannie",12,"{'Slums -- Fiction', 'City and town life -- Fiction', 'Short stories, American', 'Immigrants -- Fiction', 'Poor -- Fiction'}",1889.0,1968.0,1928.0
PG10027,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",6,{'Schools -- Juvenile fiction'},1867.0,1943.0,1905.0
PG10037,A Beautiful Possibility,"Black, Edith Ferguson",6,"{'Christian life -- Fiction', 'Orphans -- Fiction'}",1857.0,1936.0,1896.0
PG10038,The Magnetic North,"Robins, Elizabeth",44,{'Yukon -- Fiction'},1862.0,1952.0,1907.0
PG10041,The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",29,{'Southern States -- Social life and customs -- Fiction'},1879.0,1958.0,1918.0
PG10045,"Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",12,{'United States Naval Academy -- Juvenile fiction'},1868.0,1922.0,1895.0
PG10046,Salute to Adventurers,"Buchan, John",21,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Scottish Americans -- Virginia -- Fiction', 'Jamestown (Va.) -- Fiction', 'Historical fiction', 'Glasgow (Scotland) -- Fiction'}",1875.0,1940.0,1908.0
PG10049,Old Lady Mary: A Story of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",12,"{'Death -- Fiction', 'Inheritance and succession -- Fiction'}",1828.0,1897.0,1862.0
PG10050,A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",9,{'Death -- Fiction'},1828.0,1897.0,1862.0
PG10051,The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen.,"Oliphant, Mrs. (Margaret)",5,{'Death -- Fiction'},1828.0,1897.0,1862.0
PG10052,"The Open Door, and the Portrait.: Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",152,{'Manners and customs -- Fiction'},1828.0,1897.0,1862.0
PG10057,The Secret of the Tower,"Hope, Anthony",10,"{'Women physicians -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Mystery fiction', 'World War, 1914-1918 -- Veterans -- Fiction'}",1863.0,1933.0,1898.0
PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",11,"{'Cousins -- Juvenile fiction', 'Mystery and detective stories', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction'}",1856.0,1919.0,1888.0
PG10062,The Iron Game: A Tale of the War,"Keenan, Henry F. (Henry Francis)",7,"{'United States -- History -- Civil War, 1861-1865 -- Fiction'}",1850.0,1928.0,1889.0
PG10064,Beltane the Smith,"Farnol, Jeffery",9,{'Blacksmiths -- Fiction'},1878.0,1952.0,1915.0
PG10066,Gunman's Reckoning,"Brand, Max",55,"{'Western stories', 'Man-woman relationships -- Fiction', 'Frontier and pioneer life -- West (U.S.) -- Fiction', 'Outlaws -- Fiction'}",1892.0,1944.0,1918.0
PG10067,The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",26,"{'Detective and mystery stories', 'Fiction'}",1872.0,1962.0,1917.0
PG10068,The Power and the Glory,"Cooke, Grace MacGowan",42,"{'Social classes -- Fiction', 'Appalachian Region -- Fiction', 'Working class women -- Fiction', 'Psychological fiction', 'Women -- Appalachian Region -- Fiction', 'Social problems -- Fiction', 'Mills and mill-work -- Fiction', 'Domestic fiction'}",1863.0,1944.0,1904.0
PG10076,Lister's Great Adventure,"Bindloss, Harold",11,"{'Africa -- Fiction', 'Shipwrecks -- Fiction', 'Love stories', 'Salvage -- Fiction'}",1866.0,1945.0,1906.0
PG10084,Kazan,"Curwood, James Oliver",38,"{'Dogs -- Fiction', 'Wolfdogs -- Fiction'}",1878.0,1927.0,1902.0
PG10086,The Minute Boys of the Mohawk Valley,"Otis, James",7,"{'United States -- History -- Revolution, 1775-1783 -- Juvenile fiction'}",1848.0,1912.0,1880.0
PG10087,Old Lady Number 31,"Forsslund, Louise",7,"{'Older people -- Fiction', 'Long Island (N.Y.) -- Fiction', 'Poor -- Fiction'}",1873.0,1910.0,1892.0
