;author;year;avgsentlen
PG13522;Sinclair;1904;22.55808080808081
PG289;Grahame;1896;24.60707635009311
PG6256;Parker;1897;23.38658940397351
PG58770;Le Queux;1896;22.061399094111728
PG38895;Reade;1849;19.259739599226936
PG39200;Lanier;1862;42.72945819878005
PG5301;Duncan;1892;25.29121291776192
PG21230;Walton;1874;25.04749568221071
PG43362;Snell;1918;13.637261214852973
PG51233;Kornbluth;1940;18.108518086347726
PG13416;Chekhov;1882;21.749311926605504
PG62783;Ewing;1863;23.55215889464594
PG46262;Sylva;1880;21.372180451127818
PG45545;Wells;1902;23.355648535564853
PG63779;McDowell;1944;11.420597144093467
PG34681;Ellis;1878;20.4763202725724
PG366;Rinehart;1917;15.584571832979476
PG11171;Stowe;1854;16.273115220483643
PG27239;Traill;1850;54.09787234042553
PG13532;Kyne;1918;21.8094196804037
PG1484;Blasco Ibáñez;1898;20.882558139534883
PG24680;De Mille;1856;17.535714285714285
PG65172;Wodehouse;1928;14.014028352037803
PG34481;Kingston;1847;34.85303746817024
PG26828;Warner;1852;17.897274081865195
PG16918;Warner;1852;18.20716437897556
PG10882;Cabell;1918;21.30176767676768
PG13803;Alger;1866;16.42323205162678
PG13832;Habberton;1882;28.83942935195022
PG54900;Frederic;1877;24.24900310146212
PG32795;Green;1890;17.76125654450262
PG57242;Westerman;1918;26.86569194151649
PG54048;Borrow;1842;31.70830529007942
PG3969;Bentzon;1874;25.265645805592545
PG43126;Molesworth;1880;19.39798050139276
PG53844;Baum;1888;21.857507288629737
PG1603;Van Dyke;1892;22.05496688741722
PG13774;Dell;1910;14.141091168429812
PG4444;Meredith;1868;22.135365853658538
PG31496;Andersen Nexø;1912;19.572344840596113
PG45236;Vandercook;1917;24.76801087449026
PG48112;Miln;1898;20.171898863057866
PG20424;Comstock;1902;20.35152385511409
PG15565;Quiller-Couch;1904;25.121156815948336
PG35474;Hogg;1802;31.204400694846555
PG27079;Yates;1922;17.42866838604588
PG60528;Garstin;1908;19.37821037133977
PG5401;Reed;1892;18.222618622904033
PG50678;Optic;1860;19.75518572117704
PG3932;Massa;1871;20.692901234567902
PG53015;MacApp;1944;15.324289405684755
PG59529;Henty;1867;21.532478632478632
PG53567;Baring-Gould;1879;17.548687089715536
PG5658;Conrad;1890;21.205678233438487
PG12414;Barbusse;1904;17.048298906439854
PG18857;Verne;1866;20.72380239520958
PG6267;Parker;1897;20.2095046854083
PG20357;Webster;1896;17.6028659160696
PG55389;Jacobsen;1866;29.119353775140127
PG38293;Palacio Valdés;1896;21.117693315858453
PG50309;Bowen;1938;15.78887573964497
PG34338;Kock;1832;18.513405405405404
PG3993;Loti;1886;33.82235528942116
PG47128;Duncan;1894;16.86725663716814
PG157;Webster;1896;19.861808044603745
PG62479;Ingraham;1874;19.057475196715703
PG57298;Cheyney;1914;21.189900052603893
PG30970;Allen;1874;17.882005899705014
PG56310;Grant;1896;24.9370661032297
PG3649;Churchill;1909;21.926634958382877
PG61969;Munroe;1890;29.12138040460135
PG5963;McCutcheon;1897;19.5786249149081
PG40519;Ludlow;1886;22.71285975711196
PG42209;Howard;1921;20.585885486018643
PG41433;Spearman;1898;16.655253348060196
PG59223;Miller;1894;22.901503528689783
PG6384;Wright;1908;23.42054574638844
PG11402;Marshall;1930;20.64996408045977
PG1182;Rohmer;1921;17.80569362855852
PG35502;Austin;1901;27.1858407079646
PG11243;Cooper;1820;30.858529621698786
PG36717;Speed;1896;17.602811466372657
PG41418;Whyte-Melville;1850;26.448561292865588
PG43756;Scargill;1812;37.343142698500834
PG22549;Godwin;1948;22.059546313799622
PG508;Hawthorne;1834;29.99917287014061
PG4400;Mundy;1910;20.587129840546698
PG63458;Taggart;1906;26.94778825235678
PG31771;McElroy;1888;22.99188790560472
PG16903;Dyson;1898;21.214540588760034
PG2763;Lang;1878;26.082560076136094
PG42535;Aimard;1850;20.630657416584075
PG21292;Fenn;1870;25.245454545454546
PG18612;McCutcheon;1897;17.518910126067507
PG57799;Nesbit;1891;21.068772075628505
PG10988;Moore;1916;23.240362811791382
PG13261;Forman;1895;17.607585238156048
PG39443;Atherton;1902;22.185279187817258
PG1629;Collins;1856;16.711749347258486
PG14605;Maxwell;1902;22.705839838103497
PG1414;Dickens;1841;26.278112449799195
PG18093;White;1912;17.629519295870008
PG22219;Howells;1878;29.032397408207345
PG35335;McCutcheon;1897;19.350469116497262
PG66545;Shelley;1824;28.887453874538746
PG5700;Yonge;1862;25.82022684310019
PG42109;Sedgwick;1904;17.799055304074002
PG55868;Oliphant;1862;24.437465925198996
PG1761;Davis;1890;18.528455284552845
PG26310;Molesworth;1880;24.884019477644976
PG20649;Piper;1934;19.23202614379085
PG29729;Southworth;1859;20.368759811616954
PG1465;Dickens;1841;34.464285714285715
PG35186;Coolidge;1870;20.221108675227057
PG8444;Baroja;1914;19.540358400980242
PG53071;Alger;1866;16.340038778477943
PG5950;Scott;1802;37.84477784189267
PG6148;De Quincey;1822;37.90905702571748
PG23440;Becke;1884;25.115820241139936
PG36601;Scully;1899;26.19634888438134
PG4633;Curwood;1902;20.71387922858046
PG28688;MacGregor;1918;25.58949313621964
PG28636;Gaskell;1838;30.40574611550865
PG1432;Balzac;1824;25.779097387173397
PG20745;Adams;1870;26.10685383980182
PG64842;Kornbluth;1940;16.0562874251497
PG3776;Doyle;1894;17.95648060548723
PG35281;Richards;1896;17.997826086956522
PG21233;Holt;1864;21.011657729074376
PG50796;Samachson;1943;15.545454545454545
PG5518;Ebers;1868;28.078189300411523
PG25151;Alger;1866;14.64026895778857
PG40959;Kock;1832;19.10182584269663
PG64301;Phillips;1889;18.74259535478372
PG14331;Morrow;1910;14.141370154009559
PG45719;Benson;1904;24.48385926731955
PG36365;Cobb;1910;29.829450139794968
PG32064;Hauff;1814;28.42747111681643
PG31140;Stratemeyer;1896;17.368296360111998
PG25429;Fenn;1870;20.58904238323466
PG1696;Chesterton;1905;20.73820503724725
PG58285;Knipe;1914;19.756923076923076
PG37253;Stables;1875;22.526571726293852
PG29866;Southworth;1859;21.00774647887324
PG3169;Bangs;1892;23.739265390584585
PG35142;Werner;1878;24.572953736654803
PG11418;Lynde;1893;21.020784805590395
PG35484;Bonner;1900;21.38279213083669
PG66169;Cundall;1856;29.602750190985486
PG34430;Jackson;1858;19.47803687635575
PG17460;Blackmore;1862;34.2150402170753
PG21227;Robertson;1859;24.13937093275488
PG787;Barr;1875;18.821611551001396
PG30093;Maher;1920;17.37432157394844
PG4591;Arthur;1847;19.21784961349262
PG34819;Eötvös;1842;20.86615560842365
PG16115;Richmond;1912;20.55389965226031
PG3451;Mühlbach;1844;25.953887300562574
PG23374;Fenn;1870;20.261194029850746
PG44404;Cook;1900;20.122073578595316
PG5140;Trollope;1848;22.059799147900183
PG2155;Moore;1893;21.73185875048506
PG34599;Spielhagen;1870;29.03347921225383
PG21614;Henty;1867;29.94518176572418
PG22328;Raine;1912;14.810422960725075
PG36281;Chambers;1899;18.299850074962517
PG3090;Maupassant;1872;22.311169284467713
PG34531;Sue;1830;23.30766215951401
PG16005;Carleton;1832;31.64385297845374
PG14740;Williamson;1890;24.30462375339982
PG1290;Flaubert;1850;23.873536299765806
PG45265;Potter;1904;14.48
PG26732;Lewis;1918;18.194408740359897
PG42926;Swan;1901;20.487527036770008
PG12520;Malet;1892;25.379297864639884
PG3499;Alcott;1860;29.752014736357356
PG34616;Lawrence;1852;30.59843848913273
PG35207;Dunn;1884;18.112002731773945
PG35684;Hornung;1894;20.353255587949466
PG65877;Phillips;1937;13.007627118644068
PG22013;De Mille;1856;17.10697187312986
PG11918;Weyman;1892;17.746350148367952
PG53821;Alger;1866;16.814487210136267
PG39666;Thorne;1899;20.53423865934701
PG23356;Aldrich;1872;22.095652173913045
PG35531;Schubin;1894;21.319229602669093
PG153;Hardy;1884;20.90086862106406
PG4676;Austin;1862;26.630450669914737
PG7508;Moore;1892;26.083404134806003
PG34365;Spearman;1898;22.468407000889943
PG57643;Green;1890;24.608969315499607
PG37576;Fuller;1896;18.96900525903547
PG16097;Bangs;1892;23.10241893978384
PG62589;Comstock;1902;17.333333333333332
PG46988;Burgess;1920;19.95249549007817
PG5437;Roe;1863;22.508469159475872
PG15247;Adams;1890;19.910541064884672
PG21997;Walton;1894;23.588385449904276
PG4270;Howells;1878;23.004280155642025
PG40640;Barclay;1892;21.492384808174283
PG8525;Twain;1872;25.44281524926686
PG39168;Weyman;1892;17.026477272727274
PG22846;Mitford;1821;48.65853658536585
PG34882;Lever;1839;27.022921007766623
PG4293;Otis;1880;28.517719568567028
PG41224;Dumas;1836;30.127450980392158
PG30408;Leinster;1936;16.199656504937742
PG23263;Ballantyne;1860;24.696756545525595
