,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG6252,Michel and Angele [A Ladder of Swords] — Volume 3,"Parker, Gilbert",13,"{'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Jersey (Channel Islands) -- Fiction', 'Huguenots -- Fiction'}",1912.0,Gilbert+Parker,Michel+Angele,https://www.worldcat.org/search?q=Gilbert+Parker+Michel+Angele&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36494,"The Devil's Elixir, Vol. 1 (of 2)","Hoffmann, E. T. A. (Ernst Theodor Amadeus)",76,{'Gothic fiction'},1829.0,Hoffmann,Devil+Elixir,https://www.worldcat.org/search?q=Hoffmann+Devil+Elixir&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52025,"Motor Matt's Make-and-Break; or, Advancing the Spark of Friendship","Matthews, Stanley R.",3,"{'Mechanics -- Juvenile fiction', 'Dime novels', 'Cowboys -- Juvenile fiction', 'Airplanes -- Juvenile fiction', 'Adventure stories'}",1909.0,Stanley+Matthews,Motor+Matt,https://www.worldcat.org/search?q=Stanley+Matthews+Motor+Matt&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG9111,The Bride of Dreams,"Eeden, Frederik van",17,{'Fiction'},1913.0,Frederik+Eeden,Bride+Dreams,https://www.worldcat.org/search?q=Frederik+Eeden+Bride+Dreams&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG46586,Alice Wilde: The Raftsman's Daughter. A Forest Romance,"Victor, Metta Victoria Fuller",19,"{'Sawmills -- Michigan -- Fiction', 'Young men -- New York (State) -- New York -- Fiction', 'Logging -- Fiction', 'Love stories'}",1860.0,Metta+Victor,Alice+Wilde,https://www.worldcat.org/search?q=Metta+Victor+Alice+Wilde&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41964,"Mark Tidd, Editor","Kelland, Clarence Budington",38,"{'Friendship -- Juvenile fiction', 'Michigan -- Juvenile fiction', 'Newspaper editors -- Juvenile fiction', 'Boys -- Juvenile fiction'}",1913.0,Clarence+Kelland,Mark+Tidd,https://www.worldcat.org/search?q=Clarence+Kelland+Mark+Tidd&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26995,"Montezuma's Castle, and Other Weird Tales","Cory, Charles B. (Charles Barney)",53,"{'Short stories, American', 'Fiction'}",1800.0,Charles+Cory,Montezuma+Castle,https://www.worldcat.org/search?q=Charles+Cory+Montezuma+Castle&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40831,The Wiles of the Wicked,"Le Queux, William",23,"{'Amnesia -- Fiction', 'Millionaires -- Fiction', 'Mystery fiction', 'Princesses -- Fiction', 'Blindness -- Fiction'}",1899.0,William+Queux,Wiles+Wicked,https://www.worldcat.org/search?q=William+Queux+Wiles+Wicked&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40621,Little Tony of Italy,"Brandeis, Madeline",8,"{'Children -- Juvenile fiction', 'Italy -- Juvenile fiction'}",1934.0,Madeline+Brandeis,Little+Tony,https://www.worldcat.org/search?q=Madeline+Brandeis+Little+Tony&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20756,Rabbi and Priest: A Story,"Goldsmith, Milton",20,"{'Jews -- Fiction', 'Jewish fiction'}",1891.0,Milton+Goldsmith,Rabbi+Priest,https://www.worldcat.org/search?q=Milton+Goldsmith+Rabbi+Priest&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21104,Afloat at Last: A Sailor Boy's Log of His Life at Sea,"Hutcheson, John C. (John Conroy)",30,"{'Friendship -- Juvenile fiction', 'Ship captains -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Hurricanes -- Juvenile fiction', 'Sargasso Sea -- Juvenile fiction', 'Sailors -- Juvenile fiction'}",1888.0,John+Hutcheson,Afloat+Last,https://www.worldcat.org/search?q=John+Hutcheson+Afloat+Last&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6179,Pierre and His People: Tales of the Far North. Complete,"Parker, Gilbert",4,"{'Canada, Northern -- Fiction', 'Short stories, Canadian'}",1912.0,Gilbert+Parker,Pierre+People,https://www.worldcat.org/search?q=Gilbert+Parker+Pierre+People&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10579,"Joe Strong the Boy Fire-Eater; Or, The Most Dangerous Performance on Record","Barnum, Vance",17,"{'Fire-eating -- Juvenile fiction', 'Circus performers -- Juvenile fiction'}",1902.0,Vance+Barnum,Strong+Fire,https://www.worldcat.org/search?q=Vance+Barnum+Strong+Fire&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28743,Miss Ashton's New Pupil: A School Girl's Story,"Robbins, Sarah Stuart",19,"{'Teacher-student relationships -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Missionaries -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Students -- Juvenile fiction', 'Sick -- Juvenile fiction', 'Young women -- Conduct of life -- Juvenile fiction', 'Christian life -- Juvenile fiction'}",1892.0,Sarah+Robbins,Miss+Ashton,https://www.worldcat.org/search?q=Sarah+Robbins+Miss+Ashton&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6781,The Ghost-Seer; or the Apparitionist; and Sport of Destiny,"Schiller, Friedrich",76,"{'Venice (Italy) -- Fiction', 'Ghost stories'}",1800.0,Friedrich+Schiller,Ghost+Seer,https://www.worldcat.org/search?q=Friedrich+Schiller+Ghost+Seer&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG50498,The Raft,"Dawson, Coningsby",30,"{'Man-woman relationships -- Fiction', 'Marriage -- Fiction'}",1914.0,Coningsby+Dawson,Raft,https://www.worldcat.org/search?q=Coningsby+Dawson+Raft&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG57396,The Dreadnought Boys Aboard a Destroyer,"Goldfrap, John Henry",4,"{'Sailors -- Juvenile fiction', 'United States. Navy -- Juvenile fiction'}",1911.0,John+Goldfrap,Dreadnought+Boys,https://www.worldcat.org/search?q=John+Goldfrap+Dreadnought+Boys&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48620,The Third Circle,"Norris, Frank",30,"{'American fiction', 'Short stories, American'}",1928.0,Frank+Norris,Third+Circle,https://www.worldcat.org/search?q=Frank+Norris+Third+Circle&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1217,Penelope's Experiences in Scotland: Being Extracts from the Commonplace Book of Penelope Hamilton,"Wiggin, Kate Douglas Smith",55,{'Scotland -- Fiction'},1898.0,Kate+Wiggin,Penelope+Experiences,https://www.worldcat.org/search?q=Kate+Wiggin+Penelope+Experiences&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7708,"""My Novel"" — Volume 07","Lytton, Edward Bulwer Lytton, Baron",2,"{'Germany -- Fiction', 'Rhine River -- Fiction', 'Poets -- Fiction', 'England -- Fiction', 'Death -- Fiction', 'Domestic fiction', 'Inventors -- Fiction'}",1875.0,Edward+Lytton,Novel,https://www.worldcat.org/search?q=Edward+Lytton+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42967,Moscow: A Story of the French Invasion of 1812,"Whishaw, Frederick",35,"{'Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction'}",1905.0,Frederick+Whishaw,Moscow+Story,https://www.worldcat.org/search?q=Frederick+Whishaw+Moscow+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG16115,Red Pepper's Patients: With an Account of Anne Linton's Case in Particular,"Richmond, Grace S. (Grace Smith)",9,{'Physicians -- Fiction'},1910.0,Grace+Richmond,Pepper+Patients,https://www.worldcat.org/search?q=Grace+Richmond+Pepper+Patients&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG63911,Hard-Pan: A Story of Bonanza Fortunes,"Bonner, Geraldine",11,"{'Gold miners -- Fiction', 'San Francisco (Calif.) -- Social life and customs -- Fiction'}",1900.0,Geraldine+Bonner,Hard+Story,https://www.worldcat.org/search?q=Geraldine+Bonner+Hard+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG45324,The Young O'Briens: Being an Account of Their Sojourn in London,"Westrup, Margaret",29,"{'Irish -- England -- Fiction', 'London (England) -- Fiction', 'Family life -- Fiction'}",1906.0,Margaret+Westrup,Young+Briens,https://www.worldcat.org/search?q=Margaret+Westrup+Young+Briens&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG12177,The Precipice: A Novel,"Peattie, Elia Wilkinson",47,"{'Feminist fiction', 'Women -- Social and moral questions -- Fiction', 'Young women -- Fiction'}",1914.0,Elia+Peattie,Precipice+Novel,https://www.worldcat.org/search?q=Elia+Peattie+Precipice+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20326,Six Little Bunkers at Uncle Fred's,"Hope, Laura Lee",21,"{'Brothers and sisters -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Domestic fiction'}",1918.0,Laura+Hope,Little+Bunkers,https://www.worldcat.org/search?q=Laura+Hope+Little+Bunkers&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31473,The Life of Nancy,"Jewett, Sarah Orne",12,"{'Women -- New England -- Fiction', 'New England -- Social life and customs -- Fiction'}",1895.0,Sarah+Jewett,Life+Nancy,https://www.worldcat.org/search?q=Sarah+Jewett+Life+Nancy&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG51738,Julian Mortimer: A Brave Boy's Struggle for Home and Fortune,"Castlemon, Harry",7,"{'Wealth -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Success -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Outdoor life -- Juvenile fiction', 'Trappers -- Juvenile fiction'}",1887.0,Harry+Castlemon,Julian+Mortimer,https://www.worldcat.org/search?q=Harry+Castlemon+Julian+Mortimer&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35179,The Three Sapphires,"Fraser, William Alexander",6,"{'Spy stories', 'Love stories', 'British -- India -- Fiction'}",1879.0,William+Fraser,Three+Sapphires,https://www.worldcat.org/search?q=William+Fraser+Three+Sapphires&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52102,Across the Salt Seas: A Romance of the War of Succession,"Bloundelle-Burton, John",4,"{'Spanish Succession, War of, 1701-1714 -- Fiction'}",1897.0,Burton+Bloundelle,Across+Salt,https://www.worldcat.org/search?q=Burton+Bloundelle+Across+Salt&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14978,A Village Ophelia and Other Stories,"Aldrich, Anne Reeve",10,"{'Short stories', 'Fiction'}",1899.0,Anne+Aldrich,Village+Ophelia,https://www.worldcat.org/search?q=Anne+Aldrich+Village+Ophelia&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG12209,"The Persecution of Bob Pretty: Odd Craft, Part 9.","Jacobs, W. W. (William Wymark)",3,"{'Sailors -- Fiction', 'Humorous stories, English', 'England -- Social life and customs -- Fiction'}",1942.0,Jacobs,Persecution+Pretty,https://www.worldcat.org/search?q=Jacobs+Persecution+Pretty&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33167,"Flora Lyndsay; or, Passages in an Eventful Life, Vol. II.","Moodie, Susanna",19,{'Fiction'},1854.0,Susanna+Moodie,Flora+Lyndsay,https://www.worldcat.org/search?q=Susanna+Moodie+Flora+Lyndsay&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG25163,At Good Old Siwash,"Fitch, George",12,"{'United States -- Fiction', 'College stories'}",1910.0,George+Fitch,Good+Siwash,https://www.worldcat.org/search?q=George+Fitch+Good+Siwash&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5009,The Unspeakable Perk,"Adams, Samuel Hopkins",20,"{'Disguise -- Fiction', 'Entomologists -- Fiction', 'Love stories', 'Caribbean Area -- Fiction', 'Heiresses -- Fiction'}",1911.0,Samuel+Adams,Unspeakable+Perk,https://www.worldcat.org/search?q=Samuel+Adams+Unspeakable+Perk&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34129,The Trail of Conflict,"Loring, Emilie Baker",18,{'Fiction'},1901.0,Emilie+Loring,Trail+Conflict,https://www.worldcat.org/search?q=Emilie+Loring+Trail+Conflict&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2772,The Country House,"Galsworthy, John",52,"{'Upper class families -- England -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction'}",1922.0,John+Galsworthy,Country+House,https://www.worldcat.org/search?q=John+Galsworthy+Country+House&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33754,Terry's Trials and Triumphs,"Oxley, J. Macdonald (James Macdonald)",22,"{'Halifax (N.S.) -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Adventure stories', 'Poor families -- Juvenile fiction'}",1899.0,Macdonald+Oxley,Terry+Trials,https://www.worldcat.org/search?q=Macdonald+Oxley+Terry+Trials&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3464,Tish: The Chronicle of Her Escapades and Excursions,"Rinehart, Mary Roberts",39,"{'Mystery and detective stories', 'Carberry, Letitia (Tish, fictitious character) -- Fiction'}",1916.0,Mary+Rinehart,Tish+Chronicle,https://www.worldcat.org/search?q=Mary+Rinehart+Tish+Chronicle&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1196,The Purse,"Balzac, Honoré de",25,{'French fiction -- Translations into English'},1895.0,Honoré+Balzac,Purse,https://www.worldcat.org/search?q=Honoré+Balzac+Purse&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49125,Stories from Dickens,"McSpadden, J. Walker (Joseph Walker)",32,"{'Dickens, Charles, 1812-1870 -- Stories, plots, etc. -- Juvenile literature', 'English fiction -- Stories, plots, etc. -- Juvenile literature'}",1909.0,Walker+McSpadden,Stories+from,https://www.worldcat.org/search?q=Walker+McSpadden+Stories+from&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30827,The Count's Chauffeur,"Le Queux, William",17,"{'Criminals -- Fiction', 'Mystery and detective stories', 'Chauffeurs -- Fiction', 'Short stories'}",1907.0,William+Queux,Count+Chauffeur,https://www.worldcat.org/search?q=William+Queux+Count+Chauffeur&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35913,The Child Wife,"Reid, Mayne",20,{'Fiction'},1868.0,Mayne+Reid,Child+Wife,https://www.worldcat.org/search?q=Mayne+Reid+Child+Wife&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5898,Jess,"Haggard, H. Rider (Henry Rider)",30,"{'Adventure stories', 'Transvaal (South Africa) -- Fiction'}",1886.0,Rider+Haggard,Jess,https://www.worldcat.org/search?q=Rider+Haggard+Jess&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28713,Beside Still Waters,"Benson, Arthur Christopher",11,{'Conduct of life -- Fiction'},1907.0,Arthur+Benson,Beside+Still,https://www.worldcat.org/search?q=Arthur+Benson+Beside+Still&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4033,Who Spoke Next,"Follen, Eliza Lee Cabot",6,"{'Storytelling -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Cats -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Gifts -- Juvenile fiction'}",1889.0,Eliza+Follen,Spoke+Next,https://www.worldcat.org/search?q=Eliza+Follen+Spoke+Next&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30006,Cloudy Jewel,"Hill, Grace Livingston",123,{'Aunts -- Fiction'},1911.0,Grace+Hill,Cloudy+Jewel,https://www.worldcat.org/search?q=Grace+Hill+Cloudy+Jewel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52289,A Vendetta of the Hills,"Emerson, Willis George",8,"{'California -- Fiction', 'Outlaws -- Fiction', 'Revenge -- Fiction'}",1898.0,Willis+Emerson,Vendetta+Hills,https://www.worldcat.org/search?q=Willis+Emerson+Vendetta+Hills&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30586,"The Exploits of Juve: Being the Second of the Series of the ""Fantômas"" Detective Tales","Souvestre, Pierre",26,"{'Detective and mystery stories', 'Fantômas (Fictitious character) -- Fiction'}",1900.0,Pierre+Souvestre,Exploits+Juve,https://www.worldcat.org/search?q=Pierre+Souvestre+Exploits+Juve&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30106,"The Vast Abyss: The Story of Tom Blount, his Uncles and his Cousin Sam","Fenn, George Manville",11,{'Fiction'},1894.0,George+Fenn,Vast+Abyss,https://www.worldcat.org/search?q=George+Fenn+Vast+Abyss&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4285,The Master-Christian,"Corelli, Marie",18,{'Christian fiction'},1900.0,Marie+Corelli,Master+Christian,https://www.worldcat.org/search?q=Marie+Corelli+Master+Christian&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG65237,The Secret Play,"Barbour, Ralph Henry",19,"{'Football stories', 'Football -- Juvenile fiction'}",1915.0,Ralph+Barbour,Secret+Play,https://www.worldcat.org/search?q=Ralph+Barbour+Secret+Play&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40510,"The Watcher, and other weird stories","Le Fanu, Joseph Sheridan",171,"{'Fantasy fiction, English', 'Ireland -- Fiction', 'Horror tales, English'}",1894.0,Joseph+Fanu,Watcher+other,https://www.worldcat.org/search?q=Joseph+Fanu+Watcher+other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15608,In the Days of Poor Richard,"Bacheller, Irving",35,"{'United States -- History -- Revolution, 1775-1783 -- Fiction'}",1911.0,Irving+Bacheller,Days+Poor,https://www.worldcat.org/search?q=Irving+Bacheller+Days+Poor&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5497,Homo Sum — Volume 04,"Ebers, Georg",3,"{'Church history -- 4th century -- Fiction', 'German fiction -- Translations into English'}",1878.0,Georg+Ebers,Homo,https://www.worldcat.org/search?q=Georg+Ebers+Homo&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG62555,"Makar's Dream, and Other Stories","Korolenko, Vladimir Galaktionovich",22,"{'Korolenko, Vladimir Galaktionovich, 1853-1921 -- Translations into English', 'Russian fiction -- Translations into English', 'Russia -- Social life and customs -- Fiction'}",1892.0,Vladimir+Korolenko,Makar+Dream,https://www.worldcat.org/search?q=Vladimir+Korolenko+Makar+Dream&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20809,Archie's Mistake,"Wyatt, G. E.",8,{'Young men -- Conduct of life -- Juvenile fiction'},1900.0,Wyatt,Archie+Mistake,https://www.worldcat.org/search?q=Wyatt+Archie+Mistake&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10316,Roy Blakeley's Adventures in Camp,"Fitzhugh, Percy Keese",4,"{'Camping -- Juvenile fiction', 'Boy Scouts of America -- Juvenile fiction'}",1920.0,Percy+Fitzhugh,Blakeley+Adventures,https://www.worldcat.org/search?q=Percy+Fitzhugh+Blakeley+Adventures&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10027,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",6,{'Schools -- Juvenile fiction'},1800.0,Harold+Avery,Triple+Alliance,https://www.worldcat.org/search?q=Harold+Avery+Triple+Alliance&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG32394,The Torch Bearer,"Marquis, Reina Melcher",4,"{'Women authors -- Fiction', 'Married women -- Fiction', 'Mothers -- Fiction'}",1912.0,Reina+Marquis,Torch+Bearer,https://www.worldcat.org/search?q=Reina+Marquis+Torch+Bearer&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG62081,The Timber Pirate,"Jenkins, Charles Christopher",12,"{'Businessmen -- Fiction', 'Racially mixed people -- Fiction', 'Lumber trade -- Fiction', 'Canada -- Fiction', 'Inheritance and succession -- Fiction'}",1922.0,Charles+Jenkins,Timber+Pirate,https://www.worldcat.org/search?q=Charles+Jenkins+Timber+Pirate&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52447,Truthful Jane,"Kingsley, Florence Morse",18,"{'Man-woman relationships -- Fiction', 'London (England) -- Social life and customs -- Fiction', 'Young women -- Fiction'}",1907.0,Florence+Kingsley,Truthful+Jane,https://www.worldcat.org/search?q=Florence+Kingsley+Truthful+Jane&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35746,"The Pearl of Peace; or, The Little Peacemaker","Leslie, Madeline",8,"{'Cousins -- Juvenile fiction', 'School children -- Juvenile fiction', 'Children -- Death -- Religious aspects -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', ""Children's stories"", 'Uncles -- Juvenile fiction'}",1868.0,Madeline+Leslie,Pearl+Peace,https://www.worldcat.org/search?q=Madeline+Leslie+Pearl+Peace&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG47772,"Mirk Abbey, Volume 2 (of 3)","Payn, James",4,{'Fiction'},1866.0,James+Payn,Mirk+Abbey,https://www.worldcat.org/search?q=James+Payn+Mirk+Abbey&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7510,Keith of the Border: A Tale of the Plains,"Parrish, Randall",25,"{'United States -- History -- Civil War, 1861-1865 -- Veterans -- Fiction', 'Frontier and pioneer life -- West (U.S.) -- Fiction', 'Western stories', 'Love stories', 'Adventure stories'}",1910.0,Randall+Parrish,Keith+Border,https://www.worldcat.org/search?q=Randall+Parrish+Keith+Border&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21716,The Battery and the Boiler: Adventures in Laying of Submarine Electric Cables,"Ballantyne, R. M. (Robert Michael)",18,"{'Cables, Submarine -- Juvenile fiction', 'Electricity -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Pirates -- Juvenile fiction', 'Uncles -- Juvenile fiction'}",1883.0,Ballantyne,Battery+Boiler,https://www.worldcat.org/search?q=Ballantyne+Battery+Boiler&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG9102,Run to Earth: A Novel,"Braddon, M. E. (Mary Elizabeth)",40,{'English fiction'},1868.0,Braddon,Earth+Novel,https://www.worldcat.org/search?q=Braddon+Earth+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG58712,"Campfire Girls' Lake Camp; or, Searching for New Adventures","Francis, Stella M.",16,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction', 'Camp Fire Girls -- Juvenile fiction', ""Children's stories, American"", 'Camping -- Juvenile fiction', 'Pocahontas, -1617 -- Juvenile fiction'}",1912.0,Stella+Francis,Campfire+Girls,https://www.worldcat.org/search?q=Stella+Francis+Campfire+Girls&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20087,"The Pony Rider Boys in Texas; Or, The Veiled Riddle of the Plains","Patchin, Frank Gee",20,"{'Horsemanship -- Juvenile fiction', 'Texas -- Juvenile fiction'}",1910.0,Frank+Patchin,Pony+Rider,https://www.worldcat.org/search?q=Frank+Patchin+Pony+Rider&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22455,Adam Johnstone's Son,"Crawford, F. Marion (Francis Marion)",12,"{'Love stories', 'Divorce -- Fiction', 'English -- Italy -- Fiction'}",1895.0,Marion+Crawford,Adam+Johnstone,https://www.worldcat.org/search?q=Marion+Crawford+Adam+Johnstone&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40511,"Commander Lawless V.C.: Being the Further Adventures of Frank H. Lawless, Until Recently a Lieutenant in His Majesty's Navy","Bennett, Rolf",15,"{'World War, 1914-1918 -- Fiction'}",1916.0,Rolf+Bennett,Commander+Lawless,https://www.worldcat.org/search?q=Rolf+Bennett+Commander+Lawless&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG25873,"The Motor Girls on Crystal Bay; or, The Secret of the Red Oar","Penrose, Margaret",7,"{'Automobiles -- Juvenile fiction', 'Detective and mystery stories', 'Boats and boating -- Juvenile fiction', 'Girls -- Societies and clubs -- Juvenile fiction'}",1910.0,Margaret+Penrose,Motor+Girls,https://www.worldcat.org/search?q=Margaret+Penrose+Motor+Girls&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37126,Salome,"Marshall, Emma",17,"{'Christian life -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Brothers and sisters -- Fiction', 'Families -- Fiction', 'England -- Social life and customs -- Fiction'}",1886.0,Emma+Marshall,Salome,https://www.worldcat.org/search?q=Emma+Marshall+Salome&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35474,The Shepherd's Calendar. Volume I (of II),"Hogg, James",36,"{'Rural poor -- Fiction', 'Shepherds -- Fiction', 'Country life -- Fiction', 'Pastoral fiction', 'Scotland -- Social life and customs -- Fiction'}",1829.0,James+Hogg,Shepherd+Calendar,https://www.worldcat.org/search?q=James+Hogg+Shepherd+Calendar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21707,Ungava,"Ballantyne, R. M. (Robert Michael)",16,"{'Eskimos -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Hudson  Bay -- Juvenile fiction', 'Survival skills -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Outdoor life -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Fur traders -- Juvenile fiction'}",1859.0,Ballantyne,Ungava,https://www.worldcat.org/search?q=Ballantyne+Ungava&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44846,"The Motor Boys on the Atlantic; or, The Mystery of the Lighthouse","Young, Clarence",8,"{'Motorboats -- Juvenile fiction', 'Sea stories', 'Motorboat racing -- Juvenile fiction', 'Lighthouses -- Juvenile fiction'}",1906.0,Clarence+Young,Motor+Boys,https://www.worldcat.org/search?q=Clarence+Young+Motor+Boys&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
