,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG1495,The Golf Course Mystery,"Steele, Chester K.",19,"{'Detective and mystery stories', 'Golf stories', 'Golf courses -- Fiction'}",1914.0,Chester+Steele,Golf+Course,https://www.worldcat.org/search?q=Chester+Steele+Golf+Course&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34428,Alas! A Novel,"Broughton, Rhoda",10,{'Fiction'},1890.0,Rhoda+Broughton,Alas+Novel,https://www.worldcat.org/search?q=Rhoda+Broughton+Alas+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG57323,"Hartmann, the Anarchist; Or, The Doom of the Great City","Fawcett, E. Douglas (Edward Douglas)",42,"{'Anarchists -- Fiction', 'London (England) -- Fiction', 'Imaginary wars and battles -- Fiction', 'Airships -- Fiction', 'Science fiction'}",1893.0,Douglas+Fawcett,Hartmann+Anarchist,https://www.worldcat.org/search?q=Douglas+Fawcett+Hartmann+Anarchist&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35038,The Carleton Case,"Clark, Ellery H. (Ellery Harding)",8,{'Fiction'},1898.0,Ellery+Clark,Carleton+Case,https://www.worldcat.org/search?q=Ellery+Clark+Carleton+Case&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG61847,"Tinkle, the Trick Pony: His Many Adventures","Barnum, Richard",14,"{'Farm life -- Juvenile fiction', 'Circus -- Juvenile fiction', 'Ponies -- Juvenile fiction'}",1915.0,Richard+Barnum,Tinkle+Trick,https://www.worldcat.org/search?q=Richard+Barnum+Tinkle+Trick&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42907,Great Porter Square: A Mystery. v. 3,"Farjeon, B. L. (Benjamin Leopold)",1,"{'Detective and mystery stories', 'Fiction'}",1885.0,Farjeon,Great+Porter,https://www.worldcat.org/search?q=Farjeon+Great+Porter&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6204,When Valmond Came to Pontiac: The Story of a Lost Napoleon. Volume 3.,"Parker, Gilbert",7,{'Canadian fiction'},1912.0,Gilbert+Parker,When+Valmond,https://www.worldcat.org/search?q=Gilbert+Parker+When+Valmond&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG38357,By Right of Sword,"Marchmont, Arthur W.",14,"{'Moscow (Russia) -- Fiction', 'Impostors and imposture -- Fiction', 'Adventure stories', 'British -- Russia -- Fiction'}",1897.0,Arthur+Marchmont,Right+Sword,https://www.worldcat.org/search?q=Arthur+Marchmont+Right+Sword&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2687,The Snare,"Sabatini, Rafael",39,"{'British -- Portugal -- Fiction', 'Peninsular War, 1807-1814 -- Fiction', 'Adventure stories'}",1905.0,Rafael+Sabatini,Snare,https://www.worldcat.org/search?q=Rafael+Sabatini+Snare&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35847,Ekkehard: A Tale of the Tenth Century. Vol. 2 (of 2),"Scheffel, Joseph Victor von",23,"{'Hedwig, Herzogin von Schwaben, approximately 938-994 -- Fiction'}",1872.0,Joseph+Scheffel,Ekkehard+Tale,https://www.worldcat.org/search?q=Joseph+Scheffel+Ekkehard+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
