;author;title;year;avgsentlen
PG25473;Wyn+Roosevelt;Frontier+Boys;1908;21.204158145875937
PG1088;Ernest+Seton;Rolf+Woods;1911;24.04989346590909
PG26080;Henry+Dodge;Skinner+Dress;1907;16.950237992211164
PG43186;Alfred+Noyes;Walking+Shadows;1900;22.15782003973886
PG5474;Georg+Ebers;Cleopatra;1880;30.064935064935064
PG48443;Elizabeth+Phelps;Singular+Life;1895;18.213553764175433
PG39705;Meade;Lady+Forest;1888;20.66536338546458
PG21716;Ballantyne;Battery+Boiler;1883;26.023993144815766
PG35847;Joseph+Scheffel;Ekkehard+Tale;1872;25.694204372140316
PG19405;;Confessions+Etonian;1846;36.81959706959707
PG5923;Saavedra+Cervantes;History+Quixote;1906;52.800632911392405
PG49750;Laura+Richards;Golden+Breasted;1899;17.952095808383234
PG11581;Marie+Lowndes;From+Vasty;1900;21.141850220264317
PG19025;Amy+Blanchard;Sweet+Little;1899;17.600251019767807
PG11915;Thornton+Burgess;Adventures+Mocker;1914;19.832
PG36160;Julia+Kavanagh;Rachel+Gray;1856;23.348425893172976
PG4235;Charlotte+Yonge;Dynevor+Terrace;1857;24.270337148159605
PG7788;Earle+Walcott;Blindfolded;1906;17.88428172327599
PG20291;Bjørnstjerne+Bjørnson;Captain+Mansana;1881;25.79980750721848
PG44152;Ellis+Butler;Head+Whistle;1915;17.75
PG21594;Allen+Chapman;Fred+Fenton;1913;23.386363636363637
PG61378;Mrs+Oliphant;Joyce;1888;13.983855328226511
PG21104;John+Hutcheson;Afloat+Last;1888;39.68074930251096
PG51738;Harry+Castlemon;Julian+Mortimer;1887;24.906768558951963
PG10337;David+Garnett;Lady+into;1924;32.47634763476348
PG2234;Jerome+Jerome;Sketches+Lavender;1897;21.586584714056656
PG5471;Georg+Ebers;Joshua;1880;36.65384615384615
PG17131;John+Scott;Colonel+Huzzars;1906;16.6941290950373
PG40621;Madeline+Brandeis;Little+Tony;1934;11.785313901345292
PG37838;Oliver+Onions;Story+Louie;1900;19.302465423932652
PG45178;Rhoda+Broughton;Rose+Novel;1859;25.21950235373235
PG50400;Robert+Bowen;Dave+Dawson;1943;14.524797114517584
PG2783;Rafael+Sabatini;Trampling+Lilies;1924;21.037844036697248
PG7381;Anthony+Trollope;Eustace+Diamonds;1950;21.140224358974358
PG35437;Armstrong;Prize+Hawaiian;1899;26.86714727085479
PG65153;Mrs+Oliphant;Within+Precincts;1879;23.797467233439605
PG50438;Neil+Munro;Jaunty+Jock;1918;25.932468694096602
PG63852;Eugène+Sue;Marquis+Létorière;1844;21.432215234102028
PG23326;Frances+Burnett;Mère+Giraud;1877;20.614987080103358
PG18264;Oliver+Optic;Within+Enemy;1892;24.372941176470587
PG19538;Frank+Fowler;Broncho+Rider;1914;16.147258818529536
PG1556;Honoré+Balzac;Marriage+Contract;1885;24.786968396410458
PG17183;Frazer;Atmâ+Romance;1891;30.3212890625
PG16408;Israel+Zangwill;Grey+Stories;1903;17.54801055623224
PG49033;Bain;Draught+Blue;1900;28.20137420718816
PG40386;Marion+Crawford;Wandering+Ghosts;1911;24.86229792147806
PG33803;Eugène+Sue;Mysteries+Paris;1844;22.689852150537636
PG58459;Mrs+Oliphant;Lady+Sequel;1889;22.629434954007884
PG4301;George+Gissing;Nether+World;1889;21.238278481012657
PG38413;Israel+Zangwill;King+Schnorrers;1894;17.649752152361074
PG26951;Charles+Seltzer;Firebrand+Trevison;1900;19.678526277767745
PG58270;Edward+Greey;Blue+Jackets;1870;30.93689157435381
PG46637;Jane+Porter;Pastor+Fire;1817;30.06781654253234
PG10142;Johanna+Spyri;Maezli+Story;1926;19.89871887841431
PG5898;Rider+Haggard;Jess;1886;24.10234899328859
PG35076;Israel+Zangwill;Ghetto+Tragedies;1898;19.111812080536914
PG6437;Couch+Quiller;Splendid+Spur;1889;23.62388503468781
PG17615;Ernest+Glanville;Search+Okapi;1904;20.24185692541857
PG6106;Henry+Canby;Definitions+Essays;1922;28.405696202531647
PG33857;Gustav+Freytag;Lost+Manuscript;1865;23.926383234332242
PG3292;Charlotte+Yonge;Clever+Woman;1865;27.75844277673546
PG133;Harold+Frederic;Damnation+Theron;1896;23.401950327594086
PG19750;Robert+Stevenson;Waif+Woman;1923;21.24660633484163
PG36823;Josephine+Chase;Marjorie+Dean;1818;15.650912778904665
PG36010;Mabell+Smith;Ethel+Morton;1915;21.06203678287126
PG16733;Alice+Smith;Montlivet;1906;14.84715864686837
PG48591;Stanley+Matthews;Motor+Matt;1909;18.471176941553242
PG56986;Benson;Babe+Being;1897;22.897419144070565
PG22867;Alan+Nourse;Meeting+Board;1932;14.105924596050269
PG65896;Dwight+Swain;Many+Worlds;1946;12.987515605493133
PG34488;William+Kingston;Cruise+Frolic;1800;29.280682031103616
PG44498;William+Russell;Wreck+Grosvenor;1877;23.290120883701544
PG32591;Dwight+Swain;Henry+Horn;1871;12.99266862170088
PG57358;James+Allerton;Hawk+Nest;1892;16.421015390058376
PG50268;Evaleen+Stein;Troubadour+Tales;1903;35.33231083844581
PG8778;William+Morris;Water+Wondrous;1910;41.06169045005488
PG25407;Anatole+France;Merrie+Tales;1909;27.597667638483966
PG65383;Edgar+Wallace;Diana+Kara;1924;14.005990133897111
PG63775;Clemence+Dane;Legend;1919;12.577303884234578
