id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG36164;"Flower, Fruit, and Thorn Pieces;: or, the Wedded Life, Death, and Marriage of Firmian Stanislaus Siebenkaes, Parish Advocate in the Burgh of Kuhschnappel.";Jean Paul;1763.0;1825.0;2003.0;1804;['en'];122;{'German fiction -- Translations into English'};Paul+Jean;Flower+Fruit;https://www.worldcat.org/search?q=Paul+Jean+Flower+Fruit&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56433;The Manoeuvring Mother (vol. 1 of 3);Bury, Charlotte Campbell, Lady;1775.0;1861.0;1800.0;1800;['en'];6;{'English fiction -- 19th century'};Charlotte+Bury;Manoeuvring+Mother;https://www.worldcat.org/search?q=Charlotte+Bury+Manoeuvring+Mother&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49806;"Addie's Husband; or, Through clouds to sunshine";Gordon Smythies, Mrs.;;1883.0;1800.0;1800;['en'];25;{'Dime novels', 'England -- Social life and customs -- 19th century -- Fiction', 'Husband and wife -- Fiction'};Smythies+Gordon;Addie+Husband;https://www.worldcat.org/search?q=Smythies+Gordon+Addie+Husband&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6086;The Scottish Chiefs;Porter, Jane;1776.0;1850.0;1800.0;1800;['en'];40;{'Scotland -- History -- War of Independence, 1285-1371 -- Fiction'};Jane+Porter;Scottish+Chiefs;https://www.worldcat.org/search?q=Jane+Porter+Scottish+Chiefs&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36353;The Invisible Lodge;Jean Paul;1763.0;1825.0;1991.0;1804;['en'];43;{'Fiction'};Paul+Jean;Invisible+Lodge;https://www.worldcat.org/search?q=Paul+Jean+Invisible+Lodge&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31100;The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen;Austen, Jane;1775.0;1817.0;2006.0;1806;['en'];550;{'Love stories, English', 'England -- Social life and customs -- Fiction'};Jane+Austen;Complete+Project;https://www.worldcat.org/search?q=Jane+Austen+Complete+Project&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22843;Aunt Deborah;Mitford, Mary Russell;1787.0;1855.0;1800.0;1800;['en'];11;{'Short stories', 'Inheritance and succession -- Fiction'};Mary+Mitford;Aunt+Deborah;https://www.worldcat.org/search?q=Mary+Mitford+Aunt+Deborah&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2706;The Bravo of Venice: A Romance;Zschokke, Heinrich;1771.0;1848.0;1805.0;1805;['en'];32;{'Venice (Italy) -- Fiction', 'Gothic fiction'};Heinrich+Zschokke;Bravo+Venice;https://www.worldcat.org/search?q=Heinrich+Zschokke+Bravo+Venice&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG19615;The Dairyman's Daughter;Richmond, Legh;1772.0;1827.0;1800.0;1800;['en'];15;{'Christian life -- Juvenile fiction', 'Conversion -- Christianity -- Juvenile fiction'};Legh+Richmond;Dairyman+Daughter;https://www.worldcat.org/search?q=Legh+Richmond+Dairyman+Daughter&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2129;Murad the Unlucky, and Other Tales;Edgeworth, Maria;1767.0;1849.0;1804.0;1804;['en'];49;{'Short stories', 'Conduct of life -- Juvenile fiction'};Maria+Edgeworth;Murad+Unlucky;https://www.worldcat.org/search?q=Maria+Edgeworth+Murad+Unlucky&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
