;author;title;year;avgsentlen
PG1900;Herman+Melville;Typee+Romance;1865;37.58163811563169
PG46228;William+Morgan;Never+Happen;1888;20.44699664600061
PG15991;Frederick+Marryat;Japhet+Search;1836;27.048270089285715
PG64497;William+Brittain;Murderer+Base;1943;16.33901918976546
PG2301;Charles+Reade;Simpleton;1859;19.257838959903857
PG10778;Walter+Scott;Prose+Marmion;1820;25.337677725118482
PG24210;Harriet+Martineau;Deerbrook;1839;23.973388090349076
PG35012;Henty;Search+Secret;1877;34.94011976047904
PG1649;Honoré+Balzac;Ferragus+Chief;1834;25.1915261565067
PG19025;Amy+Blanchard;Sweet+Little;1899;17.600251019767807
PG5830;Louisa+Alcott;Garland+Girls;1870;32.123638918159465
PG15077;Beatrix+Potter;Tale+Jeremy;1914;20.618181818181817
PG29437;Roman+Starzl;Martian+Cabal;1948;16.35856401384083
PG65853;Garet+Garrett;Driver;1922;15.937023593466424
PG527;Joseph+Conrad;Tether;1900;22.07771164021164
PG2276;James+Hogg;Private+Memoirs;1812;33.20644354081952
PG41857;Worthington;Broken+Sword;1901;29.370298471244844
PG45341;Henry+Herbert;Wager+Battle;1855;45.20511855476101
PG49484;James+Tait;Friend+Pasquale;1892;32.890940317732934
PG15684;Amerel;Summer+Holidays;1850;21.70856102003643
PG56373;Pierce+Egan;Flower+Flock;1820;26.324946466809422
PG50400;Robert+Bowen;Dave+Dawson;1943;14.524797114517584
PG21476;William+Kingston;Salt+Water;1857;28.14891089108911
PG65153;Mrs+Oliphant;Within+Precincts;1879;23.797467233439605
PG35892;Harriet+Martineau;Feats+Fiord;1841;25.751898734177214
PG64997;Richard+Marsh;Joss+Reversion;1901;15.969716578232173
PG19458;Mrs+West;Loyalists+Historical;1812;37.60847628657921
PG63852;Eugène+Sue;Marquis+Létorière;1844;21.432215234102028
PG46697;Jane+Porter;Pastor+Fire;1817;29.35234590616375
PG23326;Frances+Burnett;Mère+Giraud;1877;20.614987080103358
PG9387;Mrs+Gore;Theresa+Marchmont;1824;42.86521739130435
PG34598;Friedrich+Spielhagen;Through+Night;1870;25.241717440974867
PG29725;Mary+Sherwood;Fairchild+Family;1818;31.5625
PG22527;Ray+Cummings;Beyond+Vanishing;1932;12.64943896633798
PG23269;William+Kingston;Heir+Kilfinnan;1857;27.224237190558433
PG36431;Mrs+Molesworth;Palace+Garden;1887;23.64476987447699
PG25960;William+Hamby;Desert+Fiddler;1921;18.669286182056318
PG1569;Honoré+Balzac;Lily+Valley;1834;27.071779534287547
PG26951;Charles+Seltzer;Firebrand+Trevison;1900;19.678526277767745
PG21506;William+Kingston;Young+Llanero;1857;32.66819091168905
PG63501;Clemence+Dane;First+Blade;1918;20.02378067252348
PG64799;Winterbotham;Equation+Time;1948;16.79903147699758
PG34246;George+Fenn;High+Descent;1889;18.05240401245244
PG46637;Jane+Porter;Pastor+Fire;1817;30.06781654253234
PG10007;Joseph+Fanu;Carmilla;1854;24.910150891632373
PG8158;Henry+Merriman;Barlasch+Guard;1900;18.59208523592085
PG4438;George+Meredith;Vittoria;1896;19.241420118343196
PG16125;Rebecca+West;Judge;1948;24.99844204403822
PG23786;Amanda+Douglas;Little+Girl;1884;17.671275327771156
PG34427;Margaret+Deland;Lavendar+People;1903;20.668284448195823
PG20585;Thomas+Carlyle;Sartor+Resartus;1869;34.622241453916054
PG36353;Paul+Jean;Invisible+Lodge;1804;45.125855962219596
PG32070;der+Velde;Specimens+German;1812;24.2392
PG35076;Israel+Zangwill;Ghetto+Tragedies;1898;19.111812080536914
PG6106;Henry+Canby;Definitions+Essays;1922;28.405696202531647
PG36823;Josephine+Chase;Marjorie+Dean;1818;15.650912778904665
PG51240;Joseph+Samachson;Addicts;1953;16.89788732394366
PG17351;Cheney;Rivals+Acadia;1827;36.39663461538461
PG31739;Ludwig+Tieck;Rebellion+Cevennes;1845;30.877742946708462
PG61236;Montgomery;Emily+Moon;1918;18.88012539184953
PG27522;Mary+Chase;Virginia+Creek;1940;16.649587494572298
PG37710;Faith+Baldwin;Mavis+Green;1921;18.093061979648475
PG32420;Rutherford+Montgomery;Yankee+Flier;1950;15.026291931097008
PG42191;Louis+Arundel;Motor+Boat;1912;24.618522601984566
PG51251;James;Morley+Ernstein;1842;37.742899448108766
PG18602;George+Smith;Fourth;1956;18.61333924218923
PG3948;Alfred+Vigny;Cinq+Mars;1829;29.053827751196174
PG63582;Mrs+Oliphant;Oliver+Bride;1830;23.400428265524624
PG31804;Molly+Seawell;Francezka;1902;26.107622592652532
PG53686;Charles+Maturin;Melmoth+Wanderer;1821;27.776310359059018
PG143;Thomas+Hardy;Mayor+Casterbridge;1894;23.126344493258596
PG39847;Flora+Steel;Tideway;1897;18.229957805907173
PG32953;Paul+Fairman;Quest+Golden;1955;16.078919677306207
PG42196;Robert+Howard;Shadows+Zamboula;1931;18.56568047337278
PG32107;Frank+Nason;Vision+Elijah;1902;16.59601047753375
PG42681;Alexandre+Dumas;Hero+People;1846;22.100594227504246
PG21612;Edward+Hoare;Child+Glens;1800;27.61382113821138
PG16009;William+Carleton;Valentine+Clutchy;1845;34.67483183145069
PG11357;Talbot+Mundy;Jimgrim+Allah;1933;18.314817950889076
PG50760;Charles+Murray;Hassan+Child;1860;33.7356620250177
PG8155;Henty;Colonel+Thorndyke;1899;27.72511768661735
PG39377;Henry+Wood;Mildred+Arkell;1865;20.30876245847176
PG66446;Agatha+Christie;Plymouth+Express;1943;14.763948497854077
PG42044;Mrs+Oliphant;Salem+Chapel;1863;26.502713369511593
PG36325;Josephine+Chase;Marjorie+Dean;1818;17.32894736842105
PG1231;Henry+Lawson;Track;1904;22.35856735856736
PG59388;Ronald+Knox;Memories+Future;1932;36.453625632377744
PG65416;Valentine+Williams;Clubfoot+Avenger;1924;16.403931203931204
PG20082;Charles+King;Warrior+Story;1898;27.7490882567469
PG330;Mary+Rinehart;Where+There;1927;18.394726083401473
PG44337;William+Simms;Lily+Totem;1850;26.871168437025798
PG43050;Black+Gaffer;History+Blue;1804;43.92941176470588
PG123;Edgar+Burroughs;Earth+Core;1922;27.664282521233794
PG52375;William+Scargill;Blue+Stocking;1827;42.91929242675511
PG36851;Josephine+Chase;Marjorie+Dean;1818;16.52284053156146
PG3736;Winston+Churchill;Country;1919;23.622898032200357
PG54854;Henry+Harland;Yoke+Thorah;1893;18.633390410958903
PG57975;Ella+Wallis;Excavating+Husband;1916;21.06810442678774
PG56891;Friedrich+Strauss;Helon+Pilgrimage;1824;21.53743831795752
PG64556;Mary+Shelley;Lodore;1835;29.368068833652007
PG27890;Lizette+Edholm;Merriweather+Girls;1932;15.455468584726042
PG40856;Madeline+Brandeis;Little+Philippe;1930;13.246659242761693
PG21354;George+Fenn;Menhardoc;1885;20.72833961170675
PG47338;Mrs+Alexander;Kate+Vernon;1854;32.19956379498364
PG36164;Paul+Jean;Flower+Fruit;1804;41.5557626146789
PG23415;Robert+Hichens;Mission+Eustace;1905;17.531484257871064
PG4299;George+Gissing;Whirlpool;1897;19.393150067598018
PG54510;Mrs+Oliphant;Athelings+Three;1857;27.794861963190183
PG30183;Clayton+Hamilton;Manual+Fiction;1933;31.166666666666668
PG33579;Stephen+Crane;Last+Words;1896;18.283526490066226
PG42687;Carol+Norton;Seven+Sleuths;1928;20.593304843304843
PG63827;Ray+Bradbury;Asleep+Armageddon;1949;10.127031019202363
PG1155;Agatha+Christie;Secret+Adversary;1943;13.224084031511817
PG51957;Christopher+Morley;Tales+from;1934;19.957792207792206
PG29947;Morris+Hershman;Spacemen+Never;1946;18.738636363636363
PG1482;Honoré+Balzac;Modeste+Mignon;1834;28.175291375291376
PG36185;William+Hopkins;Sandman+Farm;1900;30.44244244244244
PG50819;Fritz+Leiber;Sales;1943;14.852534562211982
PG23250;Mary+Catherwood;Skeleton+Round;1899;21.130081300813007
PG43065;Eaton+Barrett;Heroine;1814;22.580395256916997
PG56692;Frances+Burnett;Editha+Burglar;1884;23.723837209302324
PG21298;George+Fenn;Black+Tale;1896;21.965867320147034
PG36563;Frances+Trollope;Widow+Barnaby;1800;40.35419630156472
PG33943;Magdeleine+Marx;Woman;1920;20.847382431233363
PG28589;Meade;Frances+Kane;1894;20.27071524966262
PG4499;George+Meredith;Complete+Short;1878;21.542126330176707
PG3051;William+Howells;Open+Eyed;1897;25.693743693239153
PG4595;Arthur;Heart+Histories;1857;19.322435635472008
PG31100;Jane+Austen;Complete+Project;1806;25.625
PG42943;Herbert+Strang;Frank+Forester;1941;20.96078431372549
PG20851;Ebenezer+Brewer;Character+Sketches;1835;22.526791387222026
PG35047;Madeline+Leslie;Little+Robins;1860;22.75578406169666
PG27239;Catharine+Traill;Little+Downy;1814;54.09787234042553
PG720;Joseph+Conrad;Almayer+Folly;1923;22.804057809894385
PG18807;Beam+Piper;Walked+Around;1944;30.25862068965517
PG38008;John+Shea;Mated+from;1882;23.153807106598986
PG29361;George+Sampson;with+Felix;1922;20.037974683544302
PG57623;Speight;Loudwater+Tragedy;1882;29.745627980922098
PG18617;Oliver+Optic;Blockade;1870;25.201219512195124
PG38060;Inez+Gillmore;;1911;16.28679055750879
PG5959;Walter+Scott;Peveril+Peak;1823;38.550462351387054
PG4033;Eliza+Follen;Spoke+Next;1834;26.292763157894736
PG50736;Wallace;Address+Centauri;1955;13.099406108597286
PG28545;Anna+Warner;Seal;1860;21.579666915237386
PG25884;Charles+King;Found+Philippines;1898;28.724338048603556
