;author;year;avgsentlen
PG27935;Munsey;1890;22.07524030493868
PG55832;Hains;1910;25.018438844499077
PG19502;Standish;1906;17.351553930530166
PG4489;Meredith;1868;23.673654390934843
PG65923;Ellis;1878;27.15439429928741
PG2722;Haggard;1890;27.475573280159523
PG22565;Alger;1866;14.736912751677853
PG38626;Spyri;1864;21.490216271884655
PG49906;Munro;1897;23.47635392829901
PG34858;Meredith;1868;17.69958171496863
PG4311;Gissing;1880;18.55705292150305
PG31496;Andersen Nexø;1912;19.572344840596113
PG4477;Meredith;1868;24.18623188405797
PG39994;Wood;1919;18.389482935403546
PG3760;Disraeli;1842;24.69943651840307
PG44954;Mathews;1875;24.19530009526834
PG59413;Watanna;1914;18.374427550833484
PG46958;Miller;1894;19.82485345838218
PG48510;Cunninghame Graham;1894;50.187185025197984
PG16143;Waterloo;1880;23.174878951865566
PG21870;Blasco Ibáñez;1898;24.252536640360766
PG5991;Von Arnim;1904;38.136650868878355
PG32460;Goldfrap;1898;18.894063627418827
PG48112;Miln;1898;20.171898863057866
PG3653;Altsheler;1890;20.743407356002777
PG21731;Ballantyne;1860;27.28497854077253
PG21619;Bailey;1913;13.811217510259917
PG40487;Hay;1914;17.669901199717714
PG7478;Otis;1880;37.779035139964265
PG23871;Harris;1878;21.473389355742295
PG15607;Holmes;1866;39.63688808307236
PG46398;Ainsworth;1844;20.662717670568085
PG22477;Lawrence;1908;15.111940298507463
PG39427;Turgenev;1850;20.297211155378488
PG32923;Stanley;1872;29.401002041195028
PG47764;Johonnot;1856;21.227906976744187
PG23810;Chopin;1877;23.83380726698262
PG38684;Mason;1906;20.33685396423039
PG37688;King;1888;28.38093443858327
PG34935;Delafield;1916;23.37374262920569
PG33066;Brand;1918;16.70185810810811
PG51792;Alger;1866;14.99675522206449
PG54763;Ogden;1890;32.01980198019802
PG25847;Wells;1902;19.493527953731753
PG3932;Massa;1871;20.692901234567902
PG21344;Stratemeyer;1896;15.351504138905714
PG56868;Castlemon;1878;24.516782582400968
PG34141;Fenn;1870;22.3906362545018
PG29892;Ellis;1878;23.966654584994565
PG5636;Page;1897;22.067150147730324
PG56987;Zola;1871;28.27001939595456
PG23683;Leslie;1854;20.5176322418136
PG38635;Bindloss;1906;21.059944237918216
PG56541;Zola;1871;22.256633663366337
PG53356;Alexander;1864;31.30327868852459
PG54424;Trollope;1848;22.59117514633048
PG12128;Jacobs;1903;29.71627906976744
PG24297;Graydon;1905;19.112914950327113
PG19140;Tytler;1870;31.44074074074074
PG1210;Hearn;1877;29.556993222427604
PG23765;Dickens;1841;21.09090909090909
PG55125;Oliphant;1862;22.81479963103413
PG3178;Twain;1872;23.3161180476731
PG16168;Reeve;1908;19.932609232288325
PG5658;Conrad;1890;21.205678233438487
PG27001;Sholem Aleichem;1888;15.19019976096978
PG30436;Douglas;1874;20.760475875743555
PG58987;Wood;1897;26.73605789697744
PG27805;Grahame;1896;24.7958359229335
PG41790;Jackson;1891;19.454092339979013
PG18875;Stringer;1912;19.512241566920565
PG22878;Borrow;1842;31.097162002365
PG20357;Webster;1896;17.6028659160696
PG28098;Murray;1872;31.93896321070234
PG28459;Anstey;1895;22.113707165109034
PG23607;Harris;1902;28.170401493930907
PG16283;Hawthorne;1890;21.38307823129252
PG37010;Chester;1896;23.425764634393357
PG47739;Taggart;1906;25.149802890932982
PG3993;Loti;1886;33.82235528942116
PG65830;Stretton;1872;19.159270998415213
PG18498;Housman;1912;23.778478162989643
PG7797;Howells;1878;18.964825046040517
PG25519;Baum;1888;22.80625
PG22731;Quigg;1891;18.855048859934854
PG45262;Goldfrap;1898;19.25171939477304
PG18833;Henty;1867;27.417601995367896
PG21364;Fenn;1870;20.298286154438667
PG24359;Belasco;1892;15.124591292376527
PG49848;Godfrey;1905;17.867975889558622
PG10935;Lagerlöf;1899;21.626788465771515
PG4629;Arthur;1847;19.58694973462379
PG38875;Wingfield;1866;21.511848341232227
PG18688;Warner;1852;17.36638807318726
PG28877;Wiggin;1890;29.226621417797887
PG61754;MacFall;1894;25.651391912017413
PG54195;Alger;1866;15.719752030782386
PG6298;Parker;1897;18.535885167464116
PG6305;Browne;1906;15.990560949298814
PG12354;Stowe;1854;25.457169900615238
PG8899;Glyn;1904;19.98304589301374
PG28489;Locke;1896;18.178066612510154
PG1089;London;1896;17.670614155879925
PG21709;Ballantyne;1860;26.949442040537463
PG17718;Evans;1872;27.335198656966984
PG40471;Brooks;1864;34.39149560117302
PG21109;Vaizey;1887;21.2621776504298
PG14352;Wells;1902;16.47530864197531
PG33325;James;1880;23.397959183673468
PG33683;Bjørnson;1871;21.39540675152186
PG2370;MacDonald;1864;31.977298524404087
PG8078;Stephens;1848;25.142161504125525
PG16249;Hornblow;1904;16.334281144481963
PG57946;Speight;1872;24.021887334050952
PG19360;Ewing;1863;24.465056082830024
PG38443;Doyle;1894;17.9279128248114
PG21293;Fenn;1870;22.60226426336958
PG34830;Leslie;1854;20.736720554272516
PG16476;Stratemeyer;1896;16.19877819548872
PG46892;Johnson;1915;18.756795766177532
PG2635;Harte;1869;24.477112020841087
PG22284;Morrow;1910;15.129951745034228
PG17627;Benson;1892;22.060421468554495
PG55274;Hains;1910;24.13143176733781
PG34476;Barrett;1887;36.93922996878252
PG32513;Fanny;1858;21.652236652236653
PG42307;Castlemon;1878;28.99350930333189
PG942;Hudson;1882;32.342972816657024
PG38646;Marshall;1900;21.82115127175368
PG13728;Ward;1886;21.78449083366787
PG33762;Von Arnim;1904;24.98135198135198
PG45974;Grey;1906;16.212648070309516
PG62026;Curtis;1909;27.201660735468565
PG29406;Curwood;1902;22.82346767422334
PG54926;Reid;1883;22.536250225998916
PG11082;Ainsworth;1844;22.87326419405871
PG3930;Claretie;1876;22.80562320123976
PG40493;Tracy;1896;17.197489135683245
PG36295;Von Arnim;1904;23.295419952954198
PG56719;Veselitskaia;1896;22.211880438895196
PG26451;Young;1863;25.97165991902834
PG19649;Tracy;1896;19.429967426710096
PG61954;Oliphant;1862;22.402631578947368
PG23664;Waller;1896;23.03702717101758
PG55329;Barr;1881;22.945675105485233
PG5481;Ebers;1868;28.00136798905609
PG6009;Van Dyke;1892;18.75332963374029
PG15180;Rice;1906;19.01759755164499
PG6199;Parker;1897;18.898176291793312
PG59823;Stratton-Porter;1894;23.195677233429397
