;author;title;year;avgsentlen
PG1088;Ernest+Seton;Rolf+Woods;1911;24.04989346590909
PG53812;Myrtle+Reed;Book+Clever;1904;23.566889632107024
PG43186;Alfred+Noyes;Walking+Shadows;1900;22.15782003973886
PG4429;George+Meredith;Evan+Harrington;1861;19.733200266134396
PG19509;Robert+Grant;Opinions+Philosopher;1906;27.962845010615712
PG56435;Charlotte+Bury;Manoeuvring+Mother;1800;22.05740498034076
PG46269;Clarence+Kelland;Mark+Tidd;1913;16.139593908629443
PG37244;Charles+King;Kitty+Conquest;1884;24.81095211887727
PG21510;James+Schmitz;Legacy;1956;13.146673201813503
PG780;Wells;;1916;20.971742021276597
PG37467;Mary+Holmes;Daisy+Thornton;1878;33.690108191653785
PG14882;Dillon+Wallace;Bobby+Labrador;1916;25.02628120893561
PG15179;Douglass+Sherley;Inner+Sisterhood;1884;20.61531914893617
PG16343;Maud+Petitt;Beth+Woodburn;1897;17.545104745617785
PG5897;Anthony+Trollope;Castle+Richmond;1860;23.770364343187776
PG57904;Fred+White;Doom+London;1907;17.355641771742643
PG15382;Cody;Jess+Rebel;1921;16.432477341389728
PG7793;Nexø+Andersen;Pelle+Conqueror;1913;19.01753217931647
PG55164;Gelett+Burgess;Picaroons;1900;23.284080914687774
PG25825;Allen+French;Plattsburg;1918;23.58312405826218
PG6250;Gilbert+Parker;Michel+Angele;1912;25.045292014302742
PG39833;Mrs+Molesworth;Pincushion+Aunt;1889;19.741679273827533
PG8736;Joseph+Conrad;Gaspar+Ruiz;1900;20.05
PG4251;Marie+Corelli;Life+Everlasting;1911;26.08670143415906
PG65853;Garet+Garrett;Driver;1922;15.937023593466424
PG32693;Charles+Lever;That+Norcott;1869;27.651847575057737
PG24520;Norman+Duncan;Harbor+Tales;1904;17.491854759568206
PG3782;John+Buchan;Huntingtower;1925;19.004012401969725
PG27857;Will+Lillibridge;Dominant+Dollar;1904;14.821835340058575
PG4215;James+Cooper;Openings;1830;28.4006159373797
PG36945;Crockett;Tatter+Scarlet;1897;23.812738367658277
PG1841;Honoré+Balzac;Marcas;1834;26.01440329218107
PG26778;John+Goldfrap;Ocean+Wireless;1908;17.31848367459878
PG50369;Riley;Mawm;1924;26.430876046559117
PG56410;Molly+Jamieson;Ruby+Story;1898;21.12145748987854
PG36333;Madeline+Brandeis;Little+Erik;1927;15.466281310211945
PG28989;Eleanor+Gates;Biography+Prairie;1902;26.762280701754385
PG1456;Honoré+Balzac;Episode+under;1834;25.245562130177515
PG47618;Mrs+Oliphant;Gates+Novel;1870;22.66262789445342
PG66325;Sydney+Grier;Crowned+Queen;1898;23.57826130552492
PG41857;Worthington;Broken+Sword;1901;29.370298471244844
PG53200;Margaret+Vandercook;Camp+Fire;1913;22.781930184804928
PG7423;Wodehouse;Mike;1938;15.80524906266738
PG5631;Carolyn+Wells;Patty+Suitors;1914;17.299293008641005
PG22744;Bessie+Marchant;Adventurous+Seven;1900;34.737640724424864
PG5866;George+McCutcheon;Yollop;1922;18.462264150943398
PG5510;Georg+Ebers;Arachne;1880;33.63385826771653
PG4537;Elizabeth+Gaskell;Sylvia+Lovers;1863;31.064096206298043
PG16371;Mrs+Huddleston;Bluebell+Novel;1875;24.337252897068847
PG21476;William+Kingston;Salt+Water;1857;28.14891089108911
PG21489;Jules+Verne;Secret+Island;1876;22.135465418616743
PG2285;William+Raine;Ridgway+Montana;1904;17.287529112852003
PG7368;Susan+Glaspell;Lifted+Masks;1912;21.22644539614561
PG7647;Edward+Lytton;Ernest+Maltravers;1848;24.82278481012658
PG25136;Joseph+Hocking;Pomp+Yesterday;1918;19.05222851891561
PG59207;Edmund+Yates;Broken+Harness;1864;28.443437671609004
PG6569;Joanna+Mathews;Bessie+Bradford;1868;32.604166666666664
PG1895;Wilkie+Collins;Armadale;1866;22.608575947513327
PG56335;Herbert+Lisser;Susan+Proudleigh;1915;22.20780568818767
PG8522;Arlo+Bates;Puritans;1898;21.29636546473208
PG9387;Mrs+Gore;Theresa+Marchmont;1824;42.86521739130435
PG6008;Richard+Savage;Midnight+Passenger;1900;20.182599159203072
PG55534;Sayler;Aeroplane+Express;1910;17.512039454598202
PG10690;Sleuth+Old;Desperate+Chance;1897;19.8442932728647
PG14731;Warren+Ashton;Hatchie+Guardian;1852;20.50331013410287
PG13418;Anton+Chekhov;Chorus+Girl;1892;22.63762655992465
PG12213;Jacobs;Charges+Craft;1913;24.50735294117647
PG59112;Karel+Čapek;Rossum+Universal;1923;8.172701286326822
PG57996;Josephine+Chase;Grace+Harlowe;1921;15.708748931319464
PG45740;Leslie+Quirk;Scouts+Lakeville;1902;17.391247913962545
PG6846;Randall+Parrish;Lady+North;1904;23.350027927760195
PG3413;Stewart+White;Blazed+Trail;1904;18.494846672604655
PG12878;Frank+Honeywell;Radio+Boys;1922;20.54412265758092
PG65101;Hal+Annas;Maid+Order;1930;13.28020134228188
PG30335;Edward+Ellis;Wilderness+Fugitives;1893;27.223820224719102
PG64181;Ray+Bradbury;Rocket+Summer;1959;12.211502782931355
PG24584;Marion+Crawford;Overboard;1903;28.766927083333332
PG23730;James+Hendryx;Promise+Tale;1915;22.900609643450952
PG8562;George+MacDonald;Seaboard+Parish;1868;23.22570806100218
PG58988;Ebenezer+Brewer;Character+Sketches;1835;16.124401436552276
PG13141;Arnim+Von;Princess+Priscilla;1905;21.710368466152527
PG25017;Louis+Tracy;Immortals;1909;19.11934235976789
PG15903;Allen+Chapman;Bart+Stirling;1896;17.214939474461175
PG15801;Everett+Tomlinson;Winning+Story;1904;20.057971014492754
PG40941;George+Eggleston;Wreck+Bird;1882;21.074102663064455
PG4481;George+Meredith;Lord+Ormont;1894;20.727568270481143
PG21993;George+Sand;Devil+Pool;1850;24.679493670886075
PG7523;Frances+Little;Lady+Decoration;1906;22.863783783783784
PG21975;Mrs+Hofland;Barbadoes+Girl;1816;53.0390355912744
PG43961;James+Otis;Life+Savers;1899;32.45998583569405
PG36353;Paul+Jean;Invisible+Lodge;1804;45.125855962219596
PG25893;Julia+Schwartz;Beatrice+Leigh;1907;17.206611570247933
PG50590;Ralph+Barbour;Four+Camp;1905;18.54190231362468
PG23286;Edward+Stratemeyer;Rover+Boys;1906;18.132980972515856
PG60229;John+Bloxam;Priest+Acolyte;1894;24.540682414698164
PG54995;Howard+Garis;Uncle+Wiggily;1922;19.92804750261963
PG605;Edgar+Burroughs;Pellucidar;1922;25.31941031941032
PG30860;George+Paull;Ruby+School;1894;29.968693284936478
PG42728;Roy+Snell;Forbidden+Cargoes;1927;14.606499111449606
PG19750;Robert+Stevenson;Waif+Woman;1882;21.24660633484163
PG5239;Charles+Lever;Confessions+Harry;1839;35.37742631200575
PG16733;Alice+Smith;Montlivet;1906;14.84715864686837
PG33704;Paul+Heyse;Paradise+Novel;1878;28.583219334245324
PG19225;Harriet+Comstock;Joyce+North;1910;17.393574886313626
PG61236;Montgomery;Emily+Moon;1918;18.88012539184953
PG43362;Roy+Snell;Riddle+Storm;1932;13.637261214852973
PG22897;Stanley+Weinbaum;Ideal;1928;14.926568758344459
PG40674;George+Fenn;Sawn+Tale;1891;18.181974248927038
PG11625;Harry+Wilson;Wrong+Twin;1913;18.536016192403856
PG54078;Pansy;Ruth+Erskine;1880;24.86925960637301
PG53337;Edith+Lavell;Linda+Carlton;1931;15.614620478858889
PG22867;Alan+Nourse;Meeting+Board;1932;14.105924596050269
PG61109;Matilde+Serao;Desire+Life;1900;28.52949245541838
PG5642;Anthony+Trollope;Harry+Heathcote;1874;21.462222222222223
PG3341;Eugène+Sue;Wandering;1845;24.0328330206379
PG26593;Harold+MacGrath;Place+Honeymoons;1912;14.627262225644975
PG1423;Charles+Dickens;Thoroughfare;1867;20.125839951130118
PG8778;William+Morris;Water+Wondrous;1875;41.06169045005488
PG8668;Robert+Barr;Revenge;1891;20.792389589905362
PG40278;Knight;Threatening;1898;20.47554734148422
PG65383;Edgar+Wallace;Diana+Kara;1924;14.005990133897111
PG30712;Mack+Reynolds;Combat;1960;15.12713936430318
PG12609;George+Hobart;Back+Woods;1906;21.559390862944163
PG34104;Paul+Heyse;Four+Phases;1857;22.065478355765734
PG22544;Leigh+Brackett;World+Born;1956;13.434628975265017
PG42989;Wells;Plattner+Story;1916;21.11657709797437
PG45745;Bensusan;Heart+Wild;1908;29.828592005761614
PG580;Charles+Dickens;Pickwick+Papers;1851;25.308707284446065
PG16968;Charles+Towne;Novel;1923;12.361250607484205
PG11357;Talbot+Mundy;Jimgrim+Allah;1933;18.314817950889076
PG5382;Winston+Churchill;Modern+Chronicle;1910;19.26971318305412
PG12936;Edward+Stratemeyer;Young+Hunters;1899;16.491487786824575
PG3145;Henry+James;Author+Beltraffio;1907;27.44972972972973
PG57296;Speight;Under+Lock;1869;24.60137162451779
PG8168;François+Rabelais;Gargantua+Pantagruel;1873;35.51586522734707
PG16396;Mühlbach;Conspiracy+Carbonari;1854;21.768038482095136
PG41314;William+Russell;Danish+Sweetheart;1890;23.902902557014514
PG55166;Mrs+Oliphant;Unjust+Steward;1896;27.51348376444689
PG560;John+Buchan;Standfast;1919;20.064575645756456
PG14998;Ross+Kay;Ahead+Boys;1916;19.517575757575756
PG50760;Charles+Murray;Hassan+Child;1860;33.7356620250177
PG64746;Clyde+Beck;Collision+Orbit;1959;16.136781609195403
PG51701;Laura+Richards;Grandmother+Story;1906;17.38753581661891
PG11221;Dorothy+Fisher;Bent+Twig;1915;24.453946608112794
PG11970;Charlotte+Brame;Wife+Name;1883;20.3292580807235
PG23119;Emily+Holt;Forgotten+Hero;1883;20.9444776119403
PG3241;Ralph+Connor;Corporal+Cameron;1912;16.816266246553763
PG20551;Ray+Cummings;White+Invaders;1932;15.307357738310982
PG16596;Dillon+Wallace;Ungava+Winter;1907;26.441068139963168
PG18700;Herbert+Hopkins;Mayor+Warwick;1900;25.86714507370054
