;author;title;year;avgsentlen
PG24933;Edgar+Wallace;Knew;1930;19.34013230429989
PG44159;William+Scargill;Penelope+Love;1828;33.82079414838036
PG23329;Frances+Burnett;Monsieur+Petite;1896;16.93248407643312
PG24210;Harriet+Martineau;Deerbrook;1839;23.973388090349076
PG37244;Charles+King;Kitty+Conquest;1884;24.81095211887727
PG27968;MacApp;Tulan;1954;16.803669724770643
PG35620;Mayne+Reid;Osceola+Seminole;1858;20.63101307913988
PG52407;Christy+Mathewson;Second+Base;1911;19.599176389842142
PG12269;Bell;Macgreegor+Enlists;1915;16.048210922787195
PG32902;Berthold+Auerbach;Villa+Eden;1857;25.054180573013742
PG44111;Roy+Snell;Dynamite+Mystery;1936;13.141472868217054
PG49750;Laura+Richards;Golden+Breasted;1899;17.952095808383234
PG25032;William+Kingston;Yacht+Voyage;1879;28.479466387653677
PG60427;Maxwell+Bodenheim;Introducing+Irony;1922;22.21998166819432
PG4062;Walter+Pater;Gaston+Latour;1876;45.13019891500904
PG36867;Mark+Clifton;Progress+Report;1944;16.107296137339056
PG32693;Charles+Lever;That+Norcott;1869;27.651847575057737
PG21493;William+Kingston;Twice+Lost;1857;31.989016602809706
PG48379;Olga+Eschenbach;Molly+Kitty;1855;25.2098976109215
PG2276;James+Hogg;Private+Memoirs;1812;33.20644354081952
PG56670;Eça+Queirós;Lady+Pillar;1882;36.030092592592595
PG52167;Ralph+Farley;Earthman+Venus;1950;23.89678638941399
PG26485;George+Chester;Making+Bobby;1906;22.395860525825096
PG1456;Honoré+Balzac;Episode+under;1834;25.245562130177515
PG50923;Don+Wilcox;Serpent+River;1936;13.454545454545455
PG37838;Oliver+Onions;Story+Louie;1900;19.302465423932652
PG41857;Worthington;Broken+Sword;1901;29.370298471244844
PG24522;Leo+Miller;Black+Phantom;1930;25.483836777954426
PG43190;Farjeon;Blade+Grass;1871;21.701995420346744
PG16371;Mrs+Huddleston;Bluebell+Novel;1875;24.337252897068847
PG50400;Robert+Bowen;Dave+Dawson;1943;14.524797114517584
PG7647;Edward+Lytton;Ernest+Maltravers;1848;24.82278481012658
PG7610;Edward+Lytton;Eugene+Aram;1832;29.66182572614108
PG19458;Mrs+West;Loyalists+Historical;1812;37.60847628657921
PG16375;Robert+Benson;King+Achievement;1902;25.383376909316087
PG46697;Jane+Porter;Pastor+Fire;1817;29.35234590616375
PG29725;Mary+Sherwood;Fairchild+Family;1818;31.5625
PG6008;Richard+Savage;Midnight+Passenger;1900;20.182599159203072
PG4205;Mühlbach;Berlin+Sans;1866;21.904157792388183
PG55420;Fergus+Hume;Defence;1906;17.446372239747635
PG786;Charles+Dickens;Hard+Times;1851;23.894058577405858
PG26889;Vere+Stacpoole;Pools+Silence;1909;26.196121278339252
PG11107;César+Malan;Theobald+Iron;1845;17.765432098765434
PG2775;Ford+Ford;Good+Soldier;1916;23.476057765391438
PG40853;Frederick+Wallace;Viking+Blood;1932;22.3486544415337
PG23730;James+Hendryx;Promise+Tale;1915;22.900609643450952
PG58988;Ebenezer+Brewer;Character+Sketches;1835;16.124401436552276
PG21975;Mrs+Hofland;Barbadoes+Girl;1816;53.0390355912744
PG22838;Mary+Mitford;Country+Lodgings;1800;37.175
PG32070;der+Velde;Specimens+German;1812;24.2392
PG25893;Julia+Schwartz;Beatrice+Leigh;1907;17.206611570247933
PG54995;Howard+Garis;Uncle+Wiggily;1922;19.92804750261963
PG42599;Richard+Dowling;Duke+Sweetheart;1881;20.937674266032474
PG3981;Charles+Bernard;Gerfaut;1838;27.035538005923
PG36823;Josephine+Chase;Marjorie+Dean;1818;15.650912778904665
PG17351;Cheney;Rivals+Acadia;1827;36.39663461538461
PG33704;Paul+Heyse;Paradise+Novel;1878;28.583219334245324
PG29439;George+Cable;Sevier;1883;18.529310158695885
PG37252;Gordon+Stables;Born+Wander;1885;23.85307621671258
PG19067;Beam+Piper;Police+Operation;1948;21.20754716981132
PG53686;Charles+Maturin;Melmoth+Wanderer;1821;27.776310359059018
PG23388;Ballantyne;Wrecked+Ruined;1870;30.81637931034483
PG40631;Gould+Baring;Roar;1892;19.267906126181042
PG21612;Edward+Hoare;Child+Glens;1800;27.61382113821138
PG35913;Mayne+Reid;Child+Wife;1868;17.903684907325683
PG51234;Ann+Griffith;Zeritsky;1952;25.84426229508197
PG40159;Madame+Panache;Manners+Novel;1817;42.3125
PG55166;Mrs+Oliphant;Unjust+Steward;1896;27.51348376444689
PG64746;Clyde+Beck;Collision+Orbit;1959;16.136781609195403
PG1463;George+Gissing;Private+Papers;1890;28.665341525117455
PG36325;Josephine+Chase;Marjorie+Dean;1818;17.32894736842105
PG24268;Mayne+Reid;Desert+Home;1852;27.331994645247658
PG29206;Fredric+Brown;Happy+Ending;1949;17.616504854368934
PG65416;Valentine+Williams;Clubfoot+Avenger;1924;16.403931203931204
PG33842;Bryce+Walton;Earthlight;1953;15.50125313283208
PG43050;Black+Gaffer;History+Blue;1804;43.92941176470588
PG10468;Frank+Baum;Aunt+Jane;1898;18.611129189716888
PG51076;Phillips+Oppenheim;Aaron+Rodd;1900;16.587689393939392
PG35987;Gerald+Breckenridge;Radio+Boys;1922;19.36558516801854
PG36851;Josephine+Chase;Marjorie+Dean;1818;16.52284053156146
PG5004;Clarence+Young;Motor+Boys;1906;16.824948132780083
PG27063;Somerset+Maugham;Hero;1930;18.679248973205553
PG36164;Paul+Jean;Flower+Fruit;1804;41.5557626146789
PG23050;William+Kingston;Peter+Biddulph;1857;30.0766223612197
PG21107;John+Hutcheson;Board+Esmeralda;1885;41.69427771108443
PG12833;Gertrude+Atherton;What+Dreams;1862;22.026500389711615
PG51519;MacApp;Drug;1954;14.449115044247788
PG50816;Oblinger;Dick+Kent;1927;21.523082145281737
PG29947;Morris+Hershman;Spacemen+Never;1946;18.738636363636363
PG43107;Mrs+Molesworth;Wood+Pigeons;1901;24.636936936936937
PG44252;James;Richelieu+Tale;1800;35.17246835443038
PG2451;Emile+Gaboriau;Caught;1862;21.783653846153847
PG43065;Eaton+Barrett;Heroine;1814;22.580395256916997
PG31217;Harriet+Stowe;Household+Papers;1864;35.79193242544389
PG22124;Keyworth;Golden+Shoemaker;1822;22.117573221757322
PG9840;Benjamin+Disraeli;Vivian+Grey;1826;24.026533358969427
PG17824;Helen+Bannerman;Little+Black;1900;24.1
PG31100;Jane+Austen;Complete+Project;1806;25.625
PG42943;Herbert+Strang;Frank+Forester;1941;20.96078431372549
PG49795;Israel+Zangwill;Master+Novel;1895;21.24872587517754
PG27239;Catharine+Traill;Little+Downy;1814;54.09787234042553
PG42243;Robert+Howard;Hour+Dragon;1931;19.07053772234717
PG53688;Charles+Maturin;Melmoth+Wanderer;1821;38.58556263269639
PG5959;Walter+Scott;Peveril+Peak;1823;38.550462351387054
PG65482;Fritz+Leiber;Green+Millennium;1953;18.21014818140997
PG17403;Henty;Cornet+Horse;1881;26.94621473513294
PG36603;Mayne+Reid;Yellow+Chief;1860;23.26029486527707
PG66374;Stendhal;Charterhouse+Parma;1822;31.5582745748652
PG2029;Breckenridge+Ellis;Lahoma;1923;23.799044205495818
PG28683;Charles+Buck;Roof+Tree;1924;29.595198870322427
PG21579;Frederick+Marryat;Snarleyyow+Fiend;1800;28.061200237670825
PG63862;Charles+Harness;Stalemate+Space;1948;16.620309050772626
PG35295;Mayne+Reid;Maroon;1860;21.756523320301845
PG35294;Amelia+Opie;Wife+Duty;1806;31.08039376538146
PG29363;William+Thackeray;Henry+Esmond;1847;34.77172047404986
PG34281;George+Pattullo;Sheriff+Badger;1912;15.865473937725787
PG6337;Clair+Hayes;Allies+under;1942;18.20127625631481
PG59724;James+Ludlow;Baritone+Parish;1896;19.275577557755774
PG21405;William+Kingston;Loss+Royal;1857;33.809891808346215
PG49315;Claire+Duras;Ourika;1824;22.579298831385643
PG422;George+Borrow;Romany;1874;37.01128276340913
PG32223;Hoffmann;Specimens+German;1809;33.1015625
PG20767;Moir;Life+Mansie;1828;46.94927251278018
PG42796;Gertrude+Warner;Children;1944;15.952586206896552
PG23324;Frances+Burnett;Surly+Lancashire;1875;28.67391304347826
PG45108;Barnum;Barnum+Menagerie;1860;21.53125
PG42839;Madame+Guizot;Popular+Tales;1810;33.52557319223986
PG40518;Paul+Kock;Bath+Keepers;1842;22.042498279421885
PG42145;Susanna+Moodie;World+Before;1854;22.041537267080745
PG21914;Frank+Baum;Woggle+Book;1904;26.33153638814016
PG6490;Walter+Scott;Betrothed;1800;40.893775534727226
PG50886;Marion+Crawford;Katherine+Lauderdale;1880;20.693188667872214
PG881;Elizabeth+Stoddard;Lemorne+Versus;1860;18.084925690021233
PG41340;Braddon;Mount+Royal;1882;25.098482043687522
PG57050;Fyodor+Dostoyevsky;Stavrogin+Confession;1861;21.179111761835042
PG21577;Frederick+Marryat;Peter+Simple;1834;30.057439537329127
PG708;George+MacDonald;Princess+Goblin;1874;21.26623174899037
PG61442;Mrs+Oliphant;House+Divided;1872;22.267291910902696
PG5395;Winston+Churchill;Crisis;1923;16.395505617977527
PG32555;James+Otis;Club+Crow;1901;44.511984659635665
PG16921;Andre+Norton;Plague+Ship;1956;20.468783351120596
